Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
72D_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	461.76	142.56	2.745	5.4306	1	1.8984	1.4841	0.3531	14.625	117	15.9009	38	0	38	47.75	382	22.1601	79	24	55	14.5	116	16.0268	38	0	38	98.428	35.3197	0.9915	11.7866	10.6456	0.2864	0.6877	3.7152	38	0	11.5336	7.924	79	5	0.5455	3.7005	38	0	0.2327	0.652	3	0	10.351	2.5203	20	5	0.0898	0.4248	3	0	0.0152	5	145.7818	145.8416	281.6127	11.9181	2699.3567	9296.9023
72D_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	467.02	153.11	3.5293	6.1742	1	2.1852	1.7193	0	17.1	171	18.7762	59	0	59	65.1	651	26.1978	117	34	83	17.2	172	18.908	59	0	59	103.5259	36.237	0.9907	12.0375	10.6456	0.333	0.9623	4.7767	59	0	16.0604	11.3336	117	8	0.6679	4.7922	59	0	0.3294	0.7538	4	0	14.1373	3.2857	31	8	0.0196	0.1389	1	0	0.0228	6	123.009	136.1066	174.4917	11.9181	4097.2158	12422.9014
72D_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	593.61	182.35	29.8029	27.6738	0.489	11.0699	4.5174	0.9329	22.7647	1935	5.435	37	12	25	59.6118	5067	4.87	70	50	20	0.1882	16	0.6267	4	0	4	147.8381	50.2083	0.737	19.1898	10.866	0.8392	15.1178	7.6436	37	0	45.966	11.3672	70	16	0.089	0.4	4	0	12.9293	6.7247	37	0	42.0606	9.5296	66	16	0.0606	0.3015	3	0	0.2096	5	57.8361	7.324	139.2406	4.8355	225.4629	591.8495
72D_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	602.88	187.24	16.47	19.1682	0.5633	8.1608	2.9054	0.948	26.7872	1259	5.0257	42	19	23	62.234	2925	5.2387	74	50	24	0.617	29	1.4826	8	0	8	107.8395	41.2189	0.7976	16.7805	8.4396	0.8584	17.8556	7.7151	42	1	44.2274	11.2744	74	25	0.1372	0.6884	8	0	16.0304	6.8518	36	1	40.5478	8.2184	60	25	0.0391	0.2696	3	0	0.1464	6	54.8422	16.4519	145.8416	4.1112	329.6082	1546.6914
72D_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	597.29	189.52	7.4507	13.1707	0.5397	5.7321	1.7857	0.9205	31	682	4.2314	38	23	15	63.5909	1399	3.2317	72	59	13	0.7273	16	1.4859	5	0	5	21.1757	19.3395	0.7115	7.3277	4.0905	0.8807	28.6786	4.9949	38	18	60.1607	4.1375	72	52	0.2857	0.9856	5	0	27.1765	4.9266	36	18	57.9412	2.9943	65	52	0	0	0	0	0.3599	4	5.1203	5.1705	6.0292	4.1112	10.2631	13.3109
72D_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	590.17	193.32	4.7057	7.9463	0.9365	2.7248	2.1557	0.7468	11	154	4.2245	18	4	14	60.9286	853	5.9156	67	49	18	0.5714	8	1.6036	6	0	6	36.8615	23.2372	0.8579	7.7944	6.642	0.4021	4.3163	4.5557	21	0	29.4184	19.0831	69	9	0.1122	0.6403	6	0	3.2024	3.5594	21	0	24.1667	14.9906	69	9	0.0357	0.1867	1	0	0.1183	5	34.2142	7.324	131.7994	3.5882	393.6575	1435.4856
72D_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	596.17	196.97	5.8822	8.6643	0.9846	3.1202	2.3932	0.4753	17.3125	277	13.3502	51	0	51	96.8125	1549	21.8822	141	72	69	9.5	152	13.2514	44	0	44	57.6451	28.263	0.9069	10.6975	7.3288	0.7347	6.9799	8.5404	51	0	41.4899	25.1838	141	10	1.1477	5.1562	44	0	5.7368	6.8577	24	0	34.8346	15.5267	74	10	0.1429	0.6172	4	0	0.0841	5	11.0512	9.5255	20.6057	3.5882	29.4605	50.567
72D_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	186.69	204.1	4.7057	7.2342	1	2.4479	2.1385	0	13.4615	175	20.7108	50	0	50	58.8462	765	30.716	108	30	78	13.1538	171	20.5663	49	0	49	109.408	37.1848	0.9943	12.3996	11.2718	0.1977	0.8321	5.1553	50	0	13.4179	12.4472	108	5	0.7071	5.1004	49	0	0.2172	0.5926	3	0	11.206	3.7645	29	5	0.1011	0.514	4	0	0.0302	4	162.2987	168.5969	281.6127	30.3883	8492.543	14179.8623
72D_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	599.57	209.15	33.7243	27.7226	0.5514	10.6949	5.2642	0.8958	26.4659	2329	4.8065	36	10	26	60.0568	5285	5.4337	71	47	24	0.1705	15	0.5079	2	0	2	176.0724	53.1227	0.784	20.3807	11.4289	0.8413	15.823	9.626	37	0	43.8562	12.1551	71	20	0.135	0.5705	6	0	13.25	8.6884	37	0	39.9396	9.8731	63	20	0.1264	0.5849	6	0	0.1866	5	61.3649	23.3784	133.9828	7.5031	1975.4824	7850.0801
72D_1_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	591.77	216.63	48.6258	34.1512	0.5239	12.9562	6.0931	0.9039	20.4531	2618	6.9541	34	1	33	60.7578	7777	6.4512	74	47	27	0.1328	17	0.6067	4	0	4	214.8946	60.326	0.742	22.1124	14.2643	0.8253	10.1564	9.4834	34	0	39.4455	16.516	74	8	0.0891	0.4448	4	0	7.0332	7.7896	33	0	32.981	12.7739	62	8	0.0758	0.3824	3	0	0.2293	6	73.3222	72.4976	140.4137	7.5031	2689.3235	8777.6699
