Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
76A_5_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	489.71	136.74	5.8822	10.2549	0.7029	4.0583	1.7754	0.8927	2.8889	52	4.3371	17	0	17	39.3889	709	8.1467	62	26	36	2.5556	46	4.4354	17	0	17	131.7602	41.0941	0.9805	14.1817	11.4821	0.5699	1.503	2.2099	17	0	19.5506	11.7376	62	2	0.3155	1.4848	17	0	1.4245	2.0092	13	0	18.4277	10.8822	60	2	0.1887	0.9868	13	0	0.0446	5	105.3544	117.2773	135.6869	72.5318	2238.8511	4626.9478
76A_5_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	354.86	150.66	11.7643	13.8411	0.7717	5.3116	3.1369	0.8032	6.5714	230	7.8076	31	0	31	81.2571	2844	21.6528	121	41	80	6.8	238	7.955	32	0	32	152.1517	44.1829	0.9794	15.344	12.7875	0.5069	1.9278	3.2326	31	0	22.2577	21.2075	121	5	0.7732	3.1179	32	0	1.4674	1.8011	8	0	16.4079	8.2921	54	5	0.1756	0.7781	8	0	0.0824	4	76.3386	73.6608	135.6869	22.3458	1091.1816	2167.728
76A_5_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	557.17	163.87	12.9407	14.2797	0.7975	5.6232	3.2259	0.8443	3.4857	122	5.2152	21	0	21	46.0571	1612	13.027	78	26	52	2.9429	103	5.5833	22	0	22	150.9752	44.2226	0.9701	14.8732	12.5243	0.5264	1.057	2.1434	21	0	16.342	11.7614	78	3	0.3756	1.9059	22	0	0.8148	1.3277	8	0	13.3789	6.2107	34	3	0.1197	0.4927	3	0	0.0847	5	30.4214	22.26	72.5318	15.0631	230.874	772.1881
76A_5_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	342.97	169.48	9.4114	11.673	0.868	4.4673	2.7489	0.765	3.6	90	4.6278	20	0	20	47.44	1186	12.0661	80	32	48	2.36	59	4.7511	20	0	20	130.1916	41.1692	0.9653	14.2218	11.6335	0.5418	2.8746	2.4475	20	0	19.7612	10.445	80	5	0.2209	1.437	20	0	2.8161	2.183	10	0	17.529	6.2956	39	5	0.0484	0.2803	2	0	0.0679	5	34.996	22.3458	90.5396	11.1752	361.7465	685.3021
76A_5_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	577.68	175.25	7.0586	10.8718	0.7504	3.6281	3.0968	0.5424	6.381	134	7.9465	28	0	28	65.0476	1366	18.9406	104	37	67	4.4286	93	6.5465	21	0	21	69.4094	30.8593	0.9159	11.9734	8.1215	0.7202	2.1117	3.4865	28	0	22.5866	19.0377	104	5	0.5196	2.6187	21	0	1.5443	1.725	7	0	16.943	9.5918	70	5	0	0	0	0	0.1061	6	48.0463	16.7942	130.9398	3.7386	80.1921	221.8457
76A_5_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	570.6	174.11	4.7057	7.1041	1	2.3099	2.1902	0	2.5833	31	2.6443	8	0	8	52.6667	632	8.4781	62	40	22	1.4167	17	1.8809	5	0	5	30.195	20.9587	0.8638	7.2743	5.7978	0.6162	1.494	2.0858	8	0	22.7108	16.1649	63	6	0.2651	0.8846	5	0	1.3099	1.939	7	0	17.6479	10.7226	63	6	0.0704	0.3082	2	0	0.1042	4	9.4626	7.663	19.3858	3.1387	33.805	87.1946
76A_5_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	380.93	180.49	15.6857	17.5567	0.6395	6.8255	3.9531	0.8171	6.3043	290	6.0438	23	0	23	66.0435	3038	19.4433	107	30	77	5.9783	275	6.5878	25	0	25	174.896	48.2211	0.9452	16.2827	13.5592	0.5478	2.9709	3.592	23	0	21.0716	18.5188	107	2	0.6555	2.776	25	0	2.5885	2.9754	11	0	15.9127	8.9772	55	2	0.0449	0.2792	3	0	0.0942	6	45.5684	37.4314	117.2773	18.224	767.5438	2167.728
76A_5_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	560.22	178.11	7.4507	10.2571	0.8899	4.0857	2.0568	0.8492	3	60	4.0262	15	0	15	48.25	965	11.3038	75	33	42	3	60	4.2674	16	0	16	107.0552	39.0554	0.882	13.7684	9.9077	0.6808	0.779	1.7514	15	0	21.4457	13.2053	75	1	0.4275	1.6772	16	0	0.6055	1.2973	11	0	19.3516	10.8527	49	1	0.2266	1.0569	11	0	0.055	5	12.2416	12.6545	15.0631	8.8932	45.3878	87.1946
76A_5_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	571.05	179.47	8.6272	13.4211	0.6019	5.7012	2.6233	0.9061	4.5	126	4.9028	16	0	16	64.1786	1797	16.4318	93	40	53	3.9643	111	5.2103	16	0	16	41.9594	33.322	0.4749	13.4361	5.8094	0.9326	1.9469	3.1562	16	0	33.6372	20.7898	93	8	1	3.0793	16	0	1.1059	1.6332	8	0	23.5765	8.7265	70	8	0.0235	0.1525	1	0	0.2128	5	6.6461	3.9519	12.6545	3.1387	15.722	24.8691
76A_5_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	346.62	181.68	7.8429	11.4145	0.7564	4.793	2.1208	0.9104	10.619	223	15.7241	52	0	52	80.2857	1686	31.8577	146	37	109	10.6667	224	15.3569	51	0	51	92.938	39.9931	0.7302	14.8098	9.0148	0.8274	1.7042	5.4512	52	0	20.5375	21.7542	146	5	0.9542	5.3717	51	0	0.8493	1.2267	5	0	14.8082	6.9901	53	5	0.0228	0.2019	2	0	0.074	6	30.1203	37.509	48.3105	2.5625	331.5192	875.8549
76A_5_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	340.28	180.41	3.9214	6.7292	1	2.5267	1.6236	0.7645	10.7273	118	15.4214	39	0	39	68.2727	751	22.6367	106	38	68	10.9091	120	15.2935	39	0	39	50.9786	26.1362	0.9378	9.8724	6.8837	0.6929	1.7176	5.2701	39	0	23.9542	15.7103	106	12	1.1221	5.2784	39	0	0.8917	1.4713	8	0	19.8917	5.326	42	12	0.225	1.0569	8	0	0.056	4	37.2445	29.2601	87.8952	2.5625	560.4705	1687.4718
76A_5_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	570.66	185.1	5.49	9.1136	0.8306	3.7549	1.8112	0.8346	3.9375	63	5.3724	14	0	14	50.8125	813	10.2386	70	38	32	4.1875	67	5.5524	14	0	14	52.9394	27.5619	0.8757	10.0314	7.2943	0.667	1.554	2.8594	14	0	28.4604	10.5317	70	10	0.5899	2.2804	14	0	1.2439	2.2041	10	0	25.5528	6.2071	38	10	0.122	0.4166	3	0	0.0949	5	10.7927	13.0095	16.0078	3.9386	46.2691	87.4572
76A_5_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	556.3	187.45	9.0193	11.2886	0.8894	4.375	2.8584	0.7344	2.6154	68	3.3714	13	0	13	49.7308	1293	11.6191	72	32	40	2.4231	63	3.4545	13	0	13	118.8195	39.5419	0.955	13.1348	11.8621	0.2816	1.5921	2.3849	13	0	20.2895	12.1821	72	4	0.3092	1.2729	13	0	1.4964	2.2558	10	0	17.536	7.8218	37	4	0.1115	0.4864	4	0	0.0721	7	69.8157	22.8664	178.2476	8.8932	1566.317	4626.9478
76A_5_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	578.88	188.13	5.49	8.5879	0.9354	3.3629	1.8786	0.7988	2.9375	47	4.4791	12	0	12	47.5625	761	8.633	63	38	25	3	48	4.487	12	0	12	96.8594	36.0951	0.9342	12.8873	9.7359	0.6591	1.1215	1.911	12	0	21.4049	12.3998	63	5	0.3765	1.5773	12	0	0.9957	1.5337	9	0	19.5931	10.4257	49	5	0.1948	0.9142	9	0	0.0469	6	27.0919	12.9036	105.4643	7.0875	176.9049	726.4406
