Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
88_4_FITC.tif	286e4a4b-760e-446b-a170-872da41f4208	Cell		Positive	Annotation	Polygon	131.85	66.96	15.5316	27.2301	0.2632	9.5974	2.388	NaN	2.7733	208	3.3915	13	0	13	79.52	5964	10.2144	102	61	41	1.8933	142	2.7142	13	0	13	120.7319	55.756	0.488	26.0317	6.0036	NaN	2.5394	3.3301	15	0	47.113	19.756	102	8	0.7483	1.8743	13	0	2.5049	3.3229	15	0	42.3379	15.9633	84	8	0.5796	1.6542	12	0	0.1267	4	76.6164	38.0978	214.3467	15.9232	1835.2528	3902.4065
88_4_FITC.tif	f98d8d32-c371-4635-ab90-f82e10666a83	Cell		Positive	Annotation	Polygon	117.74	74.39	4.3488	11.9341	0.3837	5.7424	1.0835	NaN	1.087	25	1.5348	6	0	6	71.6522	1648	4.6084	82	65	17	0.6522	15	1.1912	5	0	5	78.279	46.5746	0.4535	22.0065	4.5559	NaN	2.1319	3.0496	16	0	50.781	18.5623	84	14	0.7968	1.7361	9	0	2.1994	3.1115	16	0	49.4326	18.3172	84	14	0.8062	1.7664	9	0	0.051	5	204.5267	302.3651	346.0671	15.9232	1458.757	2467.1621
88_4_FITC.tif	4471caba-f2c2-4f4e-b387-ce8d72d132cd	Cell		Positive	Annotation	Polygon	171.56	88.65	8.6977	13.0243	0.6443	5.862	1.8035	NaN	6.814	293	6.2536	25	0	25	73.4186	3157	15.5092	102	48	54	6.6977	288	6.3716	24	0	24	90.7043	47.4555	0.5061	22.042	5.1766	NaN	2.2437	3.4808	25	0	27.7403	21.4158	102	0	0.9749	3.0245	24	0	1.7475	2.5993	13	0	22.7803	15.2048	64	0	0.3535	1.3692	12	0	0.0828	6	162.489	170.6678	234.4912	45.3167	4222.7446	9596.4746
88_4_FITC.tif	992a00e0-e457-4ee1-810c-a0052628ec4c	Cell		Positive	Annotation	Polygon	122.38	96.33	21.9513	27.726	0.3588	12.3498	2.3041	NaN	4.4955	499	4.478	22	0	22	91.8018	10190	21.4602	135	40	95	3.7568	417	4.6304	22	0	22	139.5769	62.9003	0.4433	30.0037	5.7984	NaN	3.0401	3.5207	22	0	32.5326	30.9106	135	0	0.7834	2.4532	22	0	2.7531	3.2276	14	0	20.8472	14.9476	84	0	0.1972	0.9592	14	0	0.1612	6	173.051	205.176	293.4576	22.4446	2124.4395	4129.3184
88_4_FITC.tif	a2fd0867-df82-4ed7-adb8-5061325517a4	Cell		Positive	Annotation	Polygon	324.14	171.9	4.3488	11.887	0.3868	5.7422	0.9931	NaN	21.8696	503	20.7546	67	0	67	85.3043	1962	23.961	131	53	78	22.1739	510	20.9494	67	0	67	75.5869	46.4115	0.441	22.0249	4.3488	NaN	1.8579	7.4146	67	0	17.153	21.1557	131	1	1.7268	7.516	67	0	0.516	1.4923	16	0	12.5831	10.3649	64	1	0.3557	1.4333	16	0	0.0535	10	378.6709	291.6697	819.9196	122.9592	10933.4316	43076.6172
88_4_FITC.tif	ed03c378-961c-419d-b1e2-9bc7f1ffe2ae	Cell		Positive	Annotation	Polygon	224.06	239.16	41.6246	38.7837	0.3477	17.112	3.715	NaN	4.1422	845	5.3124	27	0	27	143.8529	29346	35.1254	205	68	137	4.9461	1009	5.6483	27	0	27	134.6068	56.8024	0.5243	26.0852	7.4578	NaN	1.6242	3.5799	27	0	70.9371	58.0632	205	3	1.6856	3.8994	27	0	0.4777	1.2795	10	0	37.7344	28.606	193	3	0.2009	0.7713	7	0	0.3022	6	56.3801	15.4053	162.9155	9.4099	1862.3208	9596.4746
88_4_FITC.tif	2c4463c3-5638-4c92-9ca7-5cfdfbf6039d	Cell		Positive	Annotation	Polygon	214.5	250.74	21.33	34.1307	0.2301	14.9165	2.2001	NaN	3.693	421	4.7132	21	0	21	80.2368	9147	18.4219	121	38	83	3.4737	396	4.7059	21	0	21	145.7895	65.6891	0.4246	31.0438	5.7984	NaN	1.1579	2.6327	21	0	32.7283	24.6658	121	4	0.7141	2.3295	21	0	0.6672	1.5869	10	0	23.5331	11.7835	83	4	0.18	0.6788	8	0	0.1541	4	65.3223	42.0004	167.5916	9.6969	969.3683	2582.7832
88_4_FITC.tif	d8d50511-075a-41fb-a1ae-ec0cee403c76	Cell		Positive	Annotation	Polygon	227.53	252.37	8.4906	18.4521	0.3134	7.9048	1.6645	NaN	5.8511	275	8.283	29	0	29	88.7447	4171	17.1204	119	55	64	5.8511	275	8.304	29	0	29	60.8837	45.6304	0.3675	22.0336	4.007	NaN	1.3356	3.9943	29	0	43.094	27.6557	119	10	1.1544	3.9521	29	0	0.49	1.3338	7	0	34.5458	19.7369	94	10	0.2749	0.9717	6	0	0.1392	5	52.1272	25.9445	126.1411	8.4863	1375.5901	5716.7964
88_4_FITC.tif	cbe31cd8-3281-4a41-a642-e36b42f447d4	Cell		Positive	Annotation	Polygon	221.08	259.02	19.8804	28.9092	0.2989	13.4201	2.5872	NaN	2.2843	233	3.8341	20	0	20	144.6765	14757	26.4212	187	78	109	2.951	301	3.991	20	0	20	65.2325	48.141	0.3537	22.7362	4.6254	NaN	1.2853	2.6368	20	0	74.069	57.9724	187	6	1.0846	2.6378	20	0	0.8157	1.6339	8	0	40.8802	34.0675	156	6	0.2074	0.6149	3	0	0.3067	4	23.7613	11.7848	67.8294	3.6463	117.7645	307.8599
88_4_FITC.tif	9d565637-cd9f-4153-978e-4e538b79b67d	Cell		Positive	Annotation	Polygon	224.06	263.72	16.567	29.1558	0.2449	13.7433	2.1207	NaN	6.3294	538	6.5016	27	0	27	124.6235	10593	22.1811	162	77	85	6.2588	532	6.5231	27	0	27	62.7475	49.506	0.3217	23.784	4.1911	NaN	2.0065	4.4464	27	0	58.9216	50.0574	162	5	1.768	4.4207	27	0	0.3439	1.1279	8	0	33.6516	31.2524	145	5	0.0407	0.2396	2	0	0.2701	7	30.2305	19.268	71.2826	3.6463	121.008	565.112
