Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	600.78	196.9	17.6465	18.1972	0.6697	7.5116	3.465	0.8845	13.9	695	8.3867	33	0	33	67.12	3356	10.1973	94	45	49	2.04	102	2.9621	11	0	11	180.7781	48.9513	0.948	17.7712	13.2572	0.6427	14.526	7.238	35	0	36.3723	15.4261	94	11	0.5649	1.5598	11	0	14.6019	7.0939	35	0	32.6408	11.2047	64	11	0.3859	1.1773	10	0	0.1015	5	199.4648	145.2972	436.341	94.0672	6727.6167	11890.46
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	164.63	200.02	5.8822	9.6863	0.7878	3.9386	2.3015	0.6353	13.0556	235	6.0631	26	4	22	56.3889	1015	10.3761	78	41	37	5.1111	92	6.3606	21	0	21	124.3095	39.7551	0.9884	13.5291	11.2718	0.5241	9.8679	5.0438	26	0	30.7987	10.9321	78	4	0.6887	2.1913	21	0	9.6767	4.9227	23	0	29.2633	8.8767	54	4	0.4233	1.242	8	0	0.0445	8	233.5673	177.642	436.341	146.6031	5286.6216	22187
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	462.34	238.35	5.8822	8.7413	0.9674	3.0311	2.153	0.7048	20.5882	350	3.3177	26	17	9	53.8824	916	3.8223	61	47	14	0.5294	9	1.2307	4	0	4	59.6058	28.3198	0.9339	10.4807	7.756	0.6697	21.539	7.8367	43	5	42.9416	8.7874	62	26	0.4351	1.333	8	0	21.6569	8.2261	43	5	41.5839	8.2664	62	26	0.4234	1.3489	8	0	0.0888	4	114.0155	75.7044	300.4919	4.1613	2609.145	9307.5098
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	466.39	245.4	8.235	10.9225	0.8674	4.088	3.0404	0.6754	14.2917	343	7.8822	28	0	28	54.7917	1315	7.9945	69	41	28	0.75	18	1.8238	6	0	6	68.6251	31.3006	0.8802	12.3858	7.7931	0.7883	13.0955	6.6296	28	0	35.1798	10.3182	69	16	0.309	1.1547	6	0	12.9091	6.4224	28	0	32.1234	6.6198	50	16	0.2403	1.0036	6	0	0.1219	6	116.9042	163.4256	182.6596	4.1613	4488.1665	13898.832
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	457.45	247.26	16.8622	18.784	0.6005	6.8578	4.0013	0.8483	17.2766	812	9.2494	38	4	34	55.9787	2631	6.0379	71	40	31	0.8085	38	2.0604	9	0	9	120.388	41.8413	0.8641	15.5517	10.5744	0.7605	12.8306	6.6821	38	0	38.9837	10.4758	71	18	0.443	1.3306	9	0	12.0269	5.7727	30	0	35.9115	7.829	55	18	0.3769	1.1442	8	0	0.1438	6	152.9259	174.7278	297.7702	5.39	6737.3823	22187
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	658.91	271.44	12.9407	13.8319	0.85	5.4747	2.7327	0.8467	70.5	2397	8.6873	85	50	35	78.7059	2676	6.1621	92	69	23	0.9706	33	1.8502	6	0	6	151.3674	43.9832	0.9833	15.222	12.5231	0.5619	32.3634	18.1824	85	1	52.0206	15.1	92	12	0.3789	1.2711	8	0	28.7006	14.2073	74	1	49.4576	13.0861	80	12	0.322	1.1893	8	0	0.0813	6	126.0686	122.3736	173.0405	94.0672	2486.2024	5785.8843
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	150.52	345.91	5.49	9.8712	0.708	3.9157	2.2238	0.7988	9.5263	181	4.0739	16	0	16	57.5789	1094	10.0792	82	45	37	2.0526	39	3.5664	13	0	13	129.4073	40.6033	0.9864	13.7029	11.7967	0.4437	8.6798	4.7246	22	0	34.571	11.004	82	13	0.432	1.4219	13	0	8.6282	4.7621	22	0	33.1699	9.3966	67	13	0.3333	1.1131	8	0	0.0448	4	68.2022	56.2602	146.6031	13.6852	2148.0481	5671.1973
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	143.41	357.58	7.4507	9.6266	1	3.5583	2.433	0.7512	16.3684	311	10.0952	50	5	45	67.5789	1284	13.318	104	54	50	4.3684	83	8.4275	34	0	34	121.9566	39.2141	0.9966	12.9102	11.2718	0.4182	8.4019	5.6906	50	0	37.0225	12.3765	104	16	0.537	2.5038	34	0	7.8836	4.8765	24	0	35.0342	9.3422	67	16	0.2877	1.1243	10	0	0.0523	5	63.277	44.4679	149.3806	13.6852	1988.9641	5821.7275
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	113.12	359.4	5.0979	8.6439	0.8574	3.0587	2.3082	0.7798	7.5333	113	3.9073	15	1	14	56.1333	842	8.6592	74	45	29	1.6667	25	3.4365	10	0	10	80.7816	34.9946	0.8289	12.6376	7.8884	0.791	10.375	4.9416	26	0	37.899	9.1596	74	18	0.6058	1.9358	10	0	10.5959	4.9532	26	0	36.4819	7.5492	59	18	0.5233	1.7562	10	0	0.0621	3	62.9194	18.4376	166.8274	3.4933	341.12	748.3533
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	119.94	358.16	2.745	6.0419	0.9449	2.1086	1.7712	0.7795	15.1111	136	8.9225	32	2	30	63.3333	570	10.7935	86	52	34	4.7778	43	7.4963	21	0	21	59.2137	28.9453	0.8881	10.8323	6.8273	0.7807	10.271	6.694	32	0	46.5742	6.8613	86	29	0.5161	2.1872	21	0	9.9726	6.454	29	0	45.5411	5.0064	58	29	0.2534	0.8852	5	0	0.0387	5	50.0613	25.3176	165.2206	3.4933	647.1196	2279.6714
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	226.83	360.28	3.9214	7.9024	0.7891	2.6696	2.3015	0.3988	13.4167	161	1.7816	17	11	6	55.9167	671	5.2822	66	47	19	1.1667	14	2.1672	7	0	7	113.3295	37.8468	0.9942	12.4181	11.2718	0.2686	16.5103	6.4186	38	1	42.7207	9.6615	70	14	0.4448	1.5176	11	0	16.6439	6.5135	38	1	42.1511	9.4027	70	14	0.4137	1.4808	11	0	0.036	7	144.2316	142.5394	258.828	77.6985	8343.4492	22187
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	101.19	371.76	9.8036	11.4354	0.9421	3.8386	3.3773	0.3198	9.8148	265	5.2553	23	1	22	61.7778	1668	9.8345	82	45	37	1.4444	39	3.017	10	0	10	139.6031	41.9991	0.9945	13.7957	13.0151	0.1335	10.3567	5.7614	26	0	33.3848	12.3369	82	8	0.3961	1.4292	12	0	10.4012	5.8061	26	0	31.0547	9.2333	77	8	0.31	1.1796	12	0	0.0626	6	96.9239	100.3082	183.1549	18.4376	967.5869	3321.2458
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	592	371.26	7.0586	9.4207	0.9995	3.3092	2.8005	0.465	19.6	392	5.6606	31	10	21	65.25	1305	7.0701	76	49	27	0.6	12	1.1877	4	0	4	49.4101	25.8789	0.9271	8.6452	7.5276	0.4605	14.4062	7.1425	31	1	39.7422	17.1612	76	11	0.7188	1.3971	5	0	13.4444	6.9918	29	1	35.0185	14.0193	73	11	0.7407	1.4363	5	0	0.1274	7	72.3748	10.7431	182.3628	4.289	2621.2244	11890.46
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	598.64	377.4	19.215	20.7058	0.5632	7.4276	3.9787	0.8591	15.24	762	5.4905	29	7	22	63.4	3170	4.8319	75	48	27	0.74	37	1.6011	8	0	8	98.0359	47.3601	0.5492	17.6804	8.0188	0.9367	15.2411	6.9162	31	0	42.9209	16.4922	75	15	0.3834	1.0944	8	0	15.2414	7.2362	31	0	37.8768	14.2925	65	15	0.2956	0.9127	5	0	0.1837	5	9.526	5.9649	19.4631	4.7012	38.6587	112.5316
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	587.17	376.74	5.0979	9.3015	0.7404	3.5052	2.0754	0.7935	20.75	332	8.7445	32	7	25	66.1875	1059	5.8676	80	59	21	1.4375	23	2.804	10	0	10	54.1158	27.6978	0.8864	10.0309	7.7851	0.5334	17.5957	8.1416	36	0	49.5957	13.0772	80	20	0.3546	1.3263	10	0	17.192	8.0088	36	0	47.472	12.2003	69	20	0.216	0.9297	8	0	0.0864	5	76.5931	19.3589	182.6596	3.4274	3198.2363	13898.832
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	605.04	375.72	10.1957	12.5428	0.8144	4.8229	2.8274	0.8456	24.3214	681	6.7553	42	13	29	63.1786	1769	3.7816	71	54	17	0.3571	10	1.0959	4	0	4	67.4487	29.9797	0.943	10.2571	8.8109	0.3381	16.1029	8.1028	42	1	43.6629	18.0196	71	6	0.3714	0.9675	5	0	14.5374	7.3748	37	1	39.9456	17.2447	70	6	0.3741	0.9451	5	0	0.138	4	35.9017	9.4459	119.2207	5.4945	274.3461	626.6331
