Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area	centroid_x_zeroscaled	centroid_y_zeroscaled	centroid_distances	fly_section_ID	fly_ID	section_ID
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	184.29	402.18	14.5093	15.6134	0.7479	6.3795	2.8268	0.8997	2.9512	121	4.483	16	0	16	61.3659	2516	17.0657	98	29	69	3.1951	131	4.5454	16	0	16	163.1317	46.1708	0.9616	16.1493	12.517	0.6422	0.637	1.8037	16	0	19.4928	16.8914	98	4	0.4135	1.765	16	0	0.384	0.8996	5	0	14.9147	8.4984	53	4	0.1093	0.5533	5	0	0.0872	6	235.3038	265.0015	351.0382	33.09	7383.2993	25101.9512	-257.12	51.84000000000003	262.29388098085707	75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	629.1	421.13	9.8036	11.1262	0.9952	4.1019	3.0724	0.6482	4.1154	107	4.5107	14	0	14	67.6923	1760	16.4652	97	44	53	4.1538	108	4.4783	14	0	14	132.5445	40.9174	0.9948	13.6207	11.8981	0.4172	0.7817	1.9429	14	0	22.9115	15.3921	97	4	0.4336	1.7365	14	0	0.5048	1.2066	9	0	19.1917	7.3447	44	4	0.1246	0.6409	8	0	0.0673	8	120.7016	88.3754	254.1395	44.7474	4895.123	27643.3984	187.69	70.79000000000002	200.59601242297913	75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	193.24	434.05	5.49	9.1213	0.8292	3.4402	1.903	0.8549	1.6111	29	1.3779	4	0	4	45.2778	815	3.3747	52	39	13	0.2222	4	0.7321	3	0	3	123.5252	39.4449	0.9977	13.3397	11.8977	0.4139	1.8639	2.27	10	0	25.5601	11.7738	52	3	0.1076	0.5113	4	0	1.8792	2.3135	10	0	24.3691	11.0175	49	3	0.1007	0.4957	4	0	0.0437	4	130.1066	139.7174	207.9016	33.09	3377.1682	6971.7896	-248.17000000000002	83.71000000000004	261.90783302528394	75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	618.58	462.99	11.7643	13.1588	0.8538	4.9176	2.9748	0.8184	6.6875	214	4.0035	15	0	15	42.5625	1362	5.5934	52	32	20	0.5938	19	1.7201	8	0	8	95.2909	38.3299	0.8151	14.694	8.6407	0.8155	2.7061	3.3196	15	0	23.7714	10.6037	52	7	0.1265	0.6868	8	0	2.108	2.7545	11	0	20.9484	7.9706	44	7	0.0563	0.2689	2	0	0.1173	5	15.3647	10.6598	44.7474	4.9656	48.1151	198.5424	177.17000000000002	112.65000000000003	209.95054512908513	75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	605.99	467.81	9.4114	11.5402	0.888	4.1256	3.0036	0.718	12.8846	335	4.2739	23	7	16	43.1923	1123	3.4178	51	37	14	0.2308	6	0.8629	4	0	4	103.1337	38.5762	0.8709	13.7742	9.4221	0.6971	4.7917	4.4702	23	0	29.3939	9.7908	51	10	0.072	0.3882	4	0	3.9076	3.504	18	0	27.8866	9.054	48	10	0.0546	0.2926	2	0	0.0868	6	72.1056	31.6917	216.1534	5.9696	1492.8578	5858.3184	164.57999999999998	117.47000000000003	202.20231774141462	75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	612.52	467.86	8.235	11.0602	0.846	3.7694	3.1785	0.3987	6.9583	167	3.5199	13	0	13	42.2083	1013	1.2151	44	40	4	0.0	0	0.0	0	0	0	30.9793	23.4531	0.7078	9.6443	4.9216	0.8307	7.9383	4.1903	17	0	38.7901	5.2267	48	26	0.0617	0.3656	3	0	8.3509	4.4057	17	0	37.3509	5.5949	48	26	0.0877	0.4343	3	0	0.2529	4	5.921	5.5905	8.6042	3.899	15.0346	24.2917	171.10999999999996	117.52000000000004	207.58030373809552	75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	617.88	470.21	7.8429	11.7281	0.7165	4.7767	2.5058	0.8573	9.48	237	4.9254	18	1	17	43.52	1088	1.8956	47	40	7	0.16	4	0.4726	2	0	2	33.7243	25.1565	0.6697	9.8173	5.9302	0.7722	6.1556	4.8758	18	0	31.5111	13.1954	47	3	0.3	0.771	4	0	4.8769	4.2408	16	0	26.8923	12.7587	42	3	0.3538	0.8557	4	0	0.2442	3	5.0486	4.9656	6.281	3.899	7.1738	11.246	176.46999999999997	119.87	213.33184900525282	75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	616.26	476.95	7.4507	10.0387	0.9291	3.8754	2.0664	0.8034	3.381	71	4.2482	15	0	15	50.7143	1065	11.9672	77	35	42	3.2381	68	4.3463	15	0	15	92.938	36.143	0.894	13.1605	8.7284	0.7354	1.1125	2.3607	15	0	17.5583	15.9131	77	0	0.5292	1.7426	15	0	0.895	1.9776	9	0	14.379	12.1831	43	0	0.2694	0.9064	5	0	0.0713	7	60.231	11.9584	186.8095	6.281	333.6128	1780.5776	174.84999999999997	126.61000000000001	215.8763873145926	75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	392.63	492.84	1.5686	3.4554	1.0	1.2976	0.9579	0.0	38.75	155	2.9861	42	35	7	92.0	368	2.1602	94	89	5	38.75	155	2.9861	42	35	7	87.448	33.2207	0.9957	10.9342	10.0194	0.1346	1.8973	5.2175	42	0	28.3616	8.8975	94	17	0.7812	5.1586	42	0	1.2273	1.53	6	0	27.2045	2.2873	34	17	0.0909	0.4065	4	0	0.0069	12	151.0293	157.2611	257.131	30.1352	6227.1548	27643.3984	-48.78000000000003	142.5	150.61785551520776	75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	392.45	522.01	14.9015	16.525	0.6857	7.1314	2.8766	0.9085	7.4286	312	8.3845	28	0	28	110.0714	4623	31.552	174	50	124	7.2619	305	8.8098	28	0	28	124.7016	45.0696	0.7715	17.2162	9.5208	0.8472	1.8006	3.9927	28	0	39.8411	31.7641	174	16	1.0093	3.9933	28	0	0.9534	1.5736	7	0	29.2688	12.539	90	16	0.0681	0.3377	3	0	0.1152	4	25.0829	29.1492	37.37	4.6633	275.9249	558.8763	-48.960000000000036	171.67000000000002	178.51518282767998	75_17	75	17
