Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Num Detections	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm	Object ID	Object type	Classification	condition	fly_section_ID	fly_ID	section_ID
73D_2_FITC.tif	PathAnnotationObject		Image	Polygon	408.02	301.42	55.0	55.0	100.0	265.77	206942.7	1824.7				Fed	73_17	73	17
73D_1_FITC.tif	PathAnnotationObject		Image	Polygon	460.9	323.27	52.0	52.0	100.0	225.2	230906.1	1892.8				Fed	73_16	73	16
90C_3_FITC.tif	PathAnnotationObject		Image	Polygon	412.88	321.63	23.0	23.0	100.0	114.64	200630.0	1901.7				Starved	90_13	90	13
90C_2_FITC.tif	PathAnnotationObject		Image	Polygon	418.32	288.07	31.0	31.0	100.0	148.55	208682.1	1864.8				Starved	90_12	90	12
71_12_FITC.tif			Root object (Image)	Polygon	434.68	1486.8	74.0	74.0	100.0	65.26	1133845.9	4768.3	f6463a59-06c6-4c6b-94aa-7be6d921702e	Annotation		Fed	71_12	71	12
71_13_FITC.tif			Root object (Image)	Polygon	424.67	1505.5	155.0	155.0	100.0	120.61	1285157.9	5691.6	816a99a8-d397-498a-8e18-2da90bcaca12	Annotation		Fed	71_13	71	13
88_10_FITC.tif			Root object (Image)	Polygon	435.67	1662.2	52.0	52.0	100.0	46.67	1114088.5	5147.9	204689e2-d150-4688-8310-56f84e265c77	Annotation		Starved	88_10	88	10
88_8_FITC.tif			Root object (Image)	Polygon	330.82	1620.4	132.0	132.0	100.0	104.89	1258405.9	6035.9	fec65ec3-aa2d-415c-9cb6-890155615966	Annotation		Starved	88_8	88	8
88_9_FITC.tif			Root object (Image)	Polygon	387.14	1518.6	82.0	82.0	100.0	76.6	1070482.2	4892.5	ce1c23b2-8ab4-4244-9eac-f13ea9821861	Annotation		Starved	88_9	88	9
85F_5_FITC.tif	PathAnnotationObject		Image	Polygon	437.31	287.73	55.0	55.0	100.0	341.83	160897.3	1551.3				Starved	85_30	85	30
36D_4_FITC.tif	PathAnnotationObject		Image	Polygon	416.62	334.57	93.0	93.0	100.0	469.41	198122.1	2277.9				Starved	36_19	36	19
81_10_FITC.tif			Root object (Image)	Polygon	486.18	1301.6	1.0	1.0	100.0	2.367	422464.1	2989.8	dbebf51c-3586-4cb8-9bdd-402507adb99a	Annotation		Starved	81_10	81	10
81_11_FITC.tif			Root object (Image)	Polygon	393.03	1340.4	8.0	8.0	100.0	9.512	841034.2	4282.0	b6b01079-d6f5-4a98-b8b9-ba3a9d8756c5	Annotation		Starved	81_11	81	11
88_2_FITC.tif			Root object (Image)	Polygon	403.02	1496.7	110.0	110.0	100.0	119.61	919621.8	5401.3	e5248994-8a5f-4f38-9661-97e8cd5295cd	Annotation		Starved	88_2	88	2
88_3_FITC.tif			Root object (Image)	Polygon	376.59	1393.0	158.0	158.0	100.0	134.7	1172998.1	5420.7	b161f79b-64e6-4f50-bf12-439908b728d1	Annotation		Starved	88_3	88	3
55_10_FITC.tif			Root object (Image)	Polygon	426.24	1542.3	9.0	9.0	100.0	6.559	1372207.4	5355.9	c0977c11-d781-4c1f-8070-25b4397edb7d	Annotation		Fed	55_10	55	10
55_11_FITC.tif			Root object (Image)	Polygon	353.24	1408.9	8.0	8.0	100.0	7.255	1102623.2	4699.2	0ecdd2a5-6ce3-4034-9c33-b9733864e2d5	Annotation		Fed	55_11	55	11
43_9_FITC.tif			Root object (Image)	Polygon	418.97	1611.2	31.0	31.0	100.0	21.28	1456894.6	5593.7	e3c99767-ebe4-4507-bc76-99f77b07e764	Annotation		Fed	43_9	43	9
71_16_FITC.tif			Root object (Image)	Polygon	407.15	1502.7	82.0	82.0	100.0	65.15	1258657.1	5513.7	1d8e0eac-8eb7-4985-a985-9b355d7aaf1a	Annotation		Fed	71_16	71	16
71_17_FITC.tif			Root object (Image)	Polygon	436.74	1555.4	97.0	97.0	100.0	76.91	1261281.3	5374.6	b9551a3d-87b0-48a4-b9f7-9ce6ef8fb1d5	Annotation		Fed	71_17	71	17
