Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area	centroid_x_zeroscaled	centroid_y_zeroscaled	centroid_distances	Object ID	Object type	Classification	fly_section_ID	fly_ID	section_ID
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	455.86	234.66	10.5879	12.664	0.8296	4.7571	3.0694	0.8338	7.7241	224.0	7.9637	27.0	0.0	27.0	83.8621	2432.0	23.0213	127.0	37.0	90.0	7.4828	217.0	7.9175	27.0	0.0	27.0	81.1737	33.8743	0.889	12.2854	8.4007	0.7316	1.5502	3.9878	27.0	0.0	24.8278	26.7492	127.0	6.0	1.1053	3.8914	27.0	0.0	0.5556	1.1781	6.0	0.0	15.3167	9.6413	69.0	6.0	0.0778	0.3731	3.0	0.0	0.1226	7.0	68.374	70.4238	219.4998	3.7756	1755.3431	9642.8887	14.449999999999989	-115.67999999999998	116.57900711534643				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	396.41	234.85	5.49	8.8413	0.8826	3.4059	2.1986	0.6681	0.9375	15.0	1.7308	6.0	0.0	6.0	52.5625	841.0	5.4402	62.0	43.0	19.0	0.6875	11.0	1.6621	6.0	0.0	6.0	119.2116	38.9544	0.9872	12.9591	11.2718	0.4705	1.3627	1.8702	9.0	0.0	38.0033	9.9182	62.0	18.0	0.0948	0.5559	6.0	0.0	1.3862	1.8775	9.0	0.0	37.2	9.4814	56.0	18.0	0.0621	0.4028	4.0	0.0	0.0413	5.0	90.9476	54.0255	270.3558	16.742	2125.1045	5813.8784	-45.0	-115.48999999999998	123.94732792601862				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	444.49	238.47	9.4114	12.5195	0.7546	4.6369	2.967	0.7494	1.75	49.0	2.6194	7.0	0.0	7.0	44.5	1246.0	11.1704	65.0	28.0	37.0	1.7143	48.0	2.6227	7.0	0.0	7.0	74.5073	33.6399	0.8274	12.8959	8.9487	0.7116	0.5079	1.3333	7.0	0.0	20.9058	11.9098	65.0	9.0	0.2932	1.213	7.0	0.0	0.2945	0.793	5.0	0.0	16.8528	5.7287	42.0	9.0	0.0491	0.4128	5.0	0.0	0.1188	4.0	12.3706	8.018	29.6034	3.8429	40.3708	77.825	3.079999999999984	-111.86999999999998	111.91239118167387				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	449.75	244.23	6.6664	10.1909	0.8066	3.9327	2.7088	0.611	2.2273	49.0	3.9873	14.0	0.0	14.0	41.8636	921.0	10.0489	67.0	27.0	40.0	2.2273	49.0	3.9873	14.0	0.0	14.0	71.3701	31.3502	0.9125	11.4879	8.1501	0.6568	0.5027	1.6768	14.0	0.0	18.6503	10.1206	67.0	8.0	0.388	1.6466	14.0	0.0	0.2671	0.8043	6.0	0.0	15.4783	4.3633	31.0	8.0	0.1366	0.6846	6.0	0.0	0.093	7.0	117.3676	46.5904	257.131	3.8429	5832.3057	27643.3984	8.339999999999975	-106.10999999999999	106.43724770962464				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	418.43	246.13	22.7443	22.7764	0.551	9.4496	3.7279	0.9462	2.55	153.0	4.069	19.0	0.0	19.0	58.2667	3496.0	23.213	110.0	20.0	90.0	2.1667	130.0	4.0303	19.0	0.0	19.0	198.8167	52.3638	0.9112	19.555	13.5148	0.7394	0.6955	1.7545	19.0	0.0	21.7269	16.9688	110.0	5.0	0.2868	1.5536	19.0	0.0	0.4477	0.8877	4.0	0.0	16.8441	7.2683	64.0	5.0	0.0356	0.2474	4.0	0.0	0.1147	6.0	25.6054	27.0565	35.4303	15.9192	133.3456	343.4192	-22.980000000000018	-104.20999999999998	106.71365657684117				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	401.8	249.52	34.1165	24.5703	0.7102	9.2948	5.9968	0.7756	1.5111	136.0	2.007	9.0	0.0	9.0	71.3333	6420.0	13.7506	101.0	42.0	59.0	0.8444	76.0	1.9192	9.0	0.0	9.0	182.7389	51.8268	0.8549	18.8696	12.0041	0.7725	1.1242	1.6861	9.0	0.0	38.152	20.4257	101.0	13.0	0.2377	0.968	9.0	0.0	1.0318	1.5892	6.0	0.0	30.2308	12.0776	65.0	13.0	0.0928	0.4245	4.0	0.0	0.1874	4.0	76.4786	16.3306	265.9731	7.2801	821.2441	2165.468	-39.610000000000014	-100.81999999999996	108.32185605869202				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	405.28	258.69	10.98	12.7025	0.8551	4.9946	2.9102	0.7729	1.5161	47.0	2.3646	10.0	0.0	10.0	52.8387	1638.0	5.9335	68.0	39.0	29.0	1.0645	33.0	2.294	10.0	0.0	10.0	105.4866	38.9145	0.8754	14.6848	9.0578	0.7779	1.1593	1.7397	10.0	0.0	31.2704	11.1894	68.0	10.0	0.2481	0.9801	10.0	0.0	1.113	1.6423	7.0	0.0	28.4728	8.2837	46.0	10.0	0.1423	0.5694	4.0	0.0	0.1025	5.0	114.1342	46.5904	264.0299	7.2801	6261.0659	25101.9512	-36.13000000000005	-91.64999999999998	98.51446289758677				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	718.33	318.95	23.5286	17.5255	0.9626	6.4226	4.5108	0.6383	3.129	194.0	3.9897	13.0	0.0	13.0	94.4677	5857.0	22.3223	132.0	49.0	83.0	3.1613	196.0	4.0416	13.0	0.0	13.0	178.0331	47.5831	0.9881	15.924	13.7767	0.4726	0.6009	1.8572	13.0	0.0	25.9408	30.1434	132.0	1.0	0.4715	1.8395	13.0	0.0	0.203	0.5963	5.0	0.0	15.1574	10.8264	63.0	1.0	0.0482	0.2476	2.0	0.0	0.122	4.0	152.273	161.2314	256.8858	29.7436	1981.4365	3429.0669	276.92	-31.389999999999986	278.69341309044245				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	691.81	332.65	9.8036	12.7871	0.7534	5.1403	2.579	0.8684	0.8276	24.0	1.441	5.0	0.0	5.0	49.2069	1427.0	2.042	53.0	44.0	9.0	0.1724	5.0	0.4682	2.0	0.0	2.0	141.9559	42.9366	0.9676	15.0019	11.8751	0.5702	0.5124	1.0651	6.0	0.0	35.8017	11.0995	56.0	9.0	0.168	0.6146	6.0	0.0	0.485	1.0244	6.0	0.0	34.6377	10.7967	56.0	9.0	0.1677	0.6263	6.0	0.0	0.068	4.0	110.3033	83.1195	245.2308	29.7436	3059.6897	6345.2993	250.39999999999992	-17.689999999999998	251.0240946602536				75_17	75	17
75C_6_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	638.02	353.49	9.8036	12.412	0.7997	4.5878	3.0593	0.6686	10.3448	300.0	11.2988	37.0	0.0	37.0	107.4138	3115.0	32.3591	165.0	51.0	114.0	10.3448	300.0	11.3869	37.0	0.0	37.0	143.5245	42.8484	0.9824	14.6131	12.6023	0.4568	1.218	4.1942	37.0	0.0	28.2234	26.6707	165.0	6.0	0.8447	4.2104	37.0	0.0	0.4349	0.8458	4.0	0.0	21.429	9.9793	71.0	6.0	0.0296	0.2159	2.0	0.0	0.0695	5.0	158.1425	219.4998	225.6244	57.7449	5123.0405	9642.8887	196.60999999999996	3.150000000000034	196.63523234659647				75_17	75	17
