Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
24D_F1_4_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	191.83	154.77	5.0979	8.8532	0.8173	2.9421	2.5952	0.3474	10.3125	165	7.227	27	1	26	51.75	828	12.0028	77	37	40	4.0625	65	7.1318	20	0	20	119.2116	38.775	0.9964	12.7486	11.8981	0.2114	8.7049	5.1259	27	0	26.741	9.3904	77	9	0.518	2.023	20	0	8.6159	4.9862	19	0	25.3564	6.9931	47	9	0.3218	0.9666	7	0	0.0411	3	247.2904	163.3018	528.735	49.8343	3055.6326	3968.1145
24D_F1_4_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	239.26	170.98	18.8229	17.3986	0.7814	6.6489	4.2326	0.8212	9.6735	474	7.4649	34	0	34	73.5714	3605	14.7479	112	45	67	2.5306	124	4.3017	20	0	20	174.896	47.4538	0.976	16.0585	13.7767	0.5052	10.4027	6.3326	34	0	31.1588	17.9226	112	0	0.7248	1.8876	20	0	10.4925	6.1839	31	0	25.9372	9.2311	70	0	0.5025	1.1461	8	0	0.1064	6	239.4088	208.8728	479.633	49.8343	12839.0508	29400.7578
24D_F1_4_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	713.4	242.23	12.1564	13.2075	0.8757	4.8723	3.1488	0.762	13.2121	436	7.9205	28	0	28	55.5455	1833	6.4328	71	43	28	1.3636	45	2.5838	11	0	11	145.8774	43.0494	0.9892	14.4859	12.5243	0.4679	13.4933	6.352	30	0	38.8981	11.7819	71	6	0.6595	1.8018	12	0	13.5206	6.1923	30	0	37.2824	10.9006	65	6	0.5912	1.6969	12	0	0.0793	6	310.6011	257.9605	528.735	169.1108	12119.793	29400.7578
24D_F1_4_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	106.19	293.96	15.2936	19.1548	0.5238	5.9478	4.5389	0.7528	8.0227	353	6.5468	30	0	30	59.0682	2599	10.9255	81	36	45	2.4091	106	3.3083	15	0	15	173.3274	47.3426	0.9718	15.8215	13.7767	0.3418	6.871	5.2514	30	0	27.0407	13.6223	81	3	0.4344	1.5346	15	0	6.7437	5.0822	21	0	23.5	8.1824	58	3	0.2161	0.975	12	0	0.0846	5	128.2889	131.6515	180.9781	78.7761	5119.2129	11483.999
24D_F1_4_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	500.66	334.27	16.0779	15.1342	0.8821	5.8013	3.5951	0.7792	17.8095	748	5.6622	33	9	24	57.1667	2401	7.8209	79	42	37	1.619	68	2.9297	12	0	12	159.9945	45.1712	0.9854	15.5006	13.3202	0.5059	14.3585	6.1506	33	0	36.0366	11.7657	79	7	0.6024	1.6341	12	0	13.9647	6.0876	31	0	33.625	9.5138	57	7	0.4864	1.3731	11	0	0.0944	7	206.8634	218.3661	308.2619	134.6941	15267.2031	29400.7578
24D_F1_4_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	217.98	363.33	8.235	10.7548	0.8947	4.0336	2.4603	0.7773	6	138	4.5427	17	0	17	54.913	1263	10.6169	83	45	38	2	46	4.0339	16	0	16	130.9759	40.7829	0.9896	14.1258	12.2771	0.4719	9.591	5.1583	24	0	30.6358	10.938	83	12	0.5313	1.7281	16	0	9.8558	5.108	24	0	28.8462	8.5856	53	12	0.4231	1.3729	9	0	0.0553	8	113.2351	105.7305	193.4223	67.121	4653.4839	11483.999
24D_F1_4_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	335.08	373.74	23.9208	20.8406	0.6921	7.3389	5.5858	0.7398	16.2188	1038	6.6773	30	2	28	57.125	3656	5.582	71	45	26	0.4688	30	1.3912	9	0	9	196.856	50.8211	0.9578	17.241	15.0291	0.4048	14.171	6.8492	33	0	39.7217	12.7618	71	8	0.332	1.0855	10	0	13.8724	6.8301	33	0	37.1845	11.4661	66	8	0.3121	1.034	10	0	0.1257	8	164.4663	156.2689	224.3233	117.2875	8257.8926	18697.252
24D_F1_4_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	103.04	370.2	8.6272	11.4769	0.8231	4.55	2.4352	0.8085	9.1667	220	4.5747	17	1	16	63.3333	1520	9.6939	79	46	33	0.7917	19	1.5874	6	0	6	64.7037	31.104	0.8404	12.2481	7.6058	0.7732	6.2455	4.8302	21	0	33.5928	17.3938	79	8	0.4431	1.543	9	0	5.7552	4.7117	21	0	28.6014	12.8014	66	8	0.3846	1.5333	9	0	0.1242	6	48.828	43.7214	116.2209	3.5226	1306.3761	4538.8555
24D_F1_4_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	101.93	376.14	19.215	22.5762	0.4737	7.9679	3.9497	0.8937	17	918	7.4757	34	1	33	73.1481	3950	15.3444	114	41	73	1.6852	91	3.3298	19	0	19	94.8987	48.9892	0.4969	18.1628	9.6842	0.9155	13.1089	8.6019	45	0	42.0242	21.9902	114	13	0.504	1.8154	19	0	12.0258	8.5984	45	0	33.3608	14.413	88	13	0.1753	0.8208	6	0	0.2036	4	21.0352	4.4548	71.7088	3.5226	71.1459	156.9745
24D_F1_4_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	95.35	375.85	4.3136	7.967	0.854	3.0585	1.8645	0.8122	22.3077	290	5.6182	32	14	18	60.3077	784	8.7691	73	49	24	1.2308	16	1.4233	3	0	3	16.8622	17.8416	0.6657	7.4525	3.1052	0.9021	15.3137	7.6954	32	2	38.451	17.8755	73	13	0.4118	1.0233	4	0	12.9211	6.8354	30	2	30.9737	13.4757	66	13	0.1316	0.6646	4	0	0.2054	5	5.2816	4.0849	7.6509	3.5988	8.2236	12.5647
24D_F1_4_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	87.71	378.4	10.1957	11.1986	1	4.1051	2.928	0.6845	53.7778	1452	9.2957	70	31	39	56.2963	1520	5.4407	72	47	25	0.4074	11	1.6234	8	0	8	88.2323	34.889	0.9109	12.7138	8.7108	0.7263	28.0619	15.4855	70	2	36.3097	12.8441	72	6	0.3496	1.2173	8	0	24.5729	12.5992	55	2	33.598	11.0325	64	6	0.3417	1.1564	8	0	0.1012	6	45.5299	45.9179	86.7371	4.9873	192.7245	507.8223
24D_F1_4_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	94.15	382.8	11.7643	13.5904	0.8004	4.7144	3.2736	0.7445	46.8235	1592	6.829	56	28	28	65.0882	2213	7.3665	75	46	29	0.6176	21	1.3261	5	0	5	51.3708	28.6136	0.7885	10.4023	7.3977	0.6934	27.6029	14.5017	57	5	44.7721	14.0823	75	19	0.3897	1.1558	7	0	21.1961	10.002	57	5	38	7.879	60	19	0.3137	1.0898	7	0	0.226	4	21.6864	4.7817	73.114	4.0681	52.6685	113.4143
24D_F1_4_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	100.21	383.11	5.8822	9.3778	0.8405	3.701	2.1992	0.8225	28.875	462	9.1059	49	17	32	60.25	964	6.1482	74	50	24	0.5	8	1.5055	6	0	6	29.8029	21.6447	0.7994	8.1851	5.1947	0.8039	29.0741	9.8168	49	12	45.0123	9.6183	74	29	0.1852	0.7923	6	0	29.1231	10.0507	48	12	41.2615	5.8691	64	29	0.1077	0.4718	3	0	0.1661	4	20.7046	4.7004	69.819	3.5988	71.1413	156.9745
