Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
85G_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	340.61	86.07	15.6857	16.9401	0.6869	5.4924	4.7211	0.6212	6.6818	294	9.1417	35	0	35	71.9773	3167	17.8697	110	40	70	6.75	297	9.0223	34	0	34	77.2523	36.5318	0.7274	13.4745	9.8107	0.5528	1.8308	5.0161	35	0	25.5274	28.332	110	1	1.4826	5.032	34	0	0.4713	0.8515	3	0	12.5096	12.7272	74	1	0.0064	0.0798	1	0	0.1999	4	25.4992	6.358	84.9764	4.3043	67.8886	176.4036
85G_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	333.47	85.64	4.3136	7.3594	1	2.6302	1.8786	0.6847	2.75	33	3.1945	8	0	8	48.9167	587	8.5223	62	32	30	2.5833	31	2.9375	7	0	7	27.0579	20.1012	0.8415	7.8172	3.9714	0.8761	0.7857	1.7928	8	0	21.1429	17.5345	62	3	0.5	1.5299	7	0	0.3793	0.9702	4	0	15.3966	12.7347	51	3	0.069	0.2556	1	0	0.1451	4	50.0476	48.8849	98.2925	4.128	59.7354	151.7677
85G_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	243.17	91.24	12.9407	13.4513	0.8988	4.655	3.9678	0.3399	6.3429	222	6.3196	20	0	20	91.6286	3207	28.5514	136	39	97	6.3714	223	6.4675	21	0	21	111.7609	41.7637	0.8052	14.2558	10.4102	0.708	1.1638	3.1218	20	0	21.561	29.0207	136	3	0.8885	3.0637	21	0	0.4444	1.198	8	0	11.8294	8.3393	64	3	0.127	0.5047	3	0	0.1118	5	69.3832	89.8986	93.4656	4.8446	832.2607	3394.6562
85G_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	330.98	92.08	13.725	16.5984	0.626	6.2761	3.6842	0.8481	8.8462	345	8.2543	38	0	38	81.0256	3160	19.9611	111	44	67	8	312	8.6054	38	0	38	108.6237	39.6196	0.8696	13.5512	10.9054	0.5721	4.6237	4.7489	38	0	29.595	23.3227	111	4	1.147	4.2218	38	0	3.9375	3.4666	15	0	21.2375	8.2212	65	4	0.0333	0.2216	2	0	0.1196	6	85.0155	50.2123	238.5766	4.128	2215.9272	8694.293
85G_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	234.5	90.89	9.8036	12.9137	0.7387	4.9649	2.7532	0.8822	4.1429	116	5.6353	23	0	23	65.2143	1826	16.3398	95	27	68	4.2857	120	5.5635	23	0	23	90.193	34.5416	0.9499	12.491	9.3932	0.6316	0.9483	2.5272	23	0	17.9267	20.1522	95	4	0.5474	2.3627	23	0	0.5098	1.2014	7	0	11.4363	8.7094	64	4	0.0343	0.2077	2	0	0.1054	4	73.9759	81.5164	128.026	4.8446	148.6945	300.1377
85G_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	343.04	93.88	3.1371	6.1927	1	2.2889	1.585	0.5477	5.8	58	7.3907	24	0	24	41.8	418	11.9889	67	28	39	5.8	58	7.1149	23	0	23	62.743	29.3923	0.9127	11.1987	7.5614	0.7265	2.8642	3.3297	24	0	19.537	8.3347	67	4	0.4012	2.1967	23	0	2.6711	2.8209	9	0	18.0724	5.5243	27	4	0.0461	0.2659	2	0	0.0376	7	177.299	242.6134	320.1269	5.3713	8956.9189	21248.25
85G_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	422.9	103.22	13.3329	15.0046	0.7442	6.1303	2.9583	0.8934	7.1944	259	6.3011	25	0	25	56.9722	2051	16.4638	93	31	62	3.4722	125	5.542	23	0	23	155.681	45.1397	0.9601	16.0447	12.4651	0.6429	3.3734	3.5321	25	0	23.0351	13.6902	93	4	0.3258	1.9242	23	0	2.9945	2.8778	10	0	19.6694	7.3455	45	4	0.0138	0.1384	2	0	0.079	8	92.161	72.1109	232.1551	60.9394	2132.0449	8380.9248
85G_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	487.53	113.63	6.6664	12.7864	0.5124	4.2005	3.6655	0.5456	9.0909	200	9.7781	29	0	29	110.2727	2426	23.1562	145	72	73	8.9545	197	9.6633	29	0	29	39.2143	28.934	0.5886	10.5928	5.0773	0.9184	2.4231	5.8121	29	0	44.6538	41.3458	145	6	2.1442	5.7983	29	0	0.6341	1.6888	13	0	27.0488	23.4841	95	6	0.3171	1.6015	13	0	0.1896	5	6.1253	5.638	11.334	3.1767	14.6544	32.7003
85G_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	491.66	112.46	5.0979	8.5583	0.8746	2.9965	2.383	0.4033	15.6	234	14.8362	46	0	46	117.1333	1757	24.5818	155	70	85	17.5333	263	14.8654	48	0	48	24.705	19.8025	0.7917	7.9891	3.7573	0.8673	3.7273	9.4829	46	0	44.8939	44.8646	155	7	3.9848	10.12	48	0	0.2353	0.7372	4	0	23.6471	20.5298	82	7	0	0	0	0	0.2097	5	17.9366	4.8802	70.1574	3.1484	22.0539	68.991
85G_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	497.29	113.95	4.3136	7.3715	0.9976	2.6727	1.9114	0.4784	15.0769	196	20.1638	54	0	54	97.1538	1263	30.5173	147	56	91	14.7692	192	20.4579	54	0	54	57.6451	28.1655	0.9131	10.4491	6.8875	0.7416	2.4503	7.1756	54	0	27.6093	26.3343	147	4	1.4305	7.1633	54	0	1.2609	2.0515	9	0	21.058	13.2499	64	4	0.1739	1.0246	9	0	0.0673	5	21.602	10.5952	73.2475	3.1484	28.868	60.9351
85G_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	483.32	113.64	3.9214	7.1631	0.9604	2.7268	1.8704	0.5874	18.5	222	22.7216	65	0	65	144.3333	1732	28.519	195	93	102	18.6667	224	22.4634	65	0	65	21.1757	19.1375	0.7266	7.8555	3.238	0.9121	4.5172	12.6619	65	0	51.6552	58.6726	195	3	4.4655	12.6674	65	0	0.8696	3.3374	22	0	27.4783	35.6886	141	3	0.7609	3.4781	23	0	0.169	4	19.2979	5.4258	63.1635	3.1767	40.2265	86.084
85G_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	479.91	118.39	10.1957	13.3391	0.7201	5.5915	2.4394	0.9074	4	116	6.0828	24	0	24	73.3103	2126	20.3314	106	43	63	3.7931	110	6.1666	24	0	24	89.0166	35.8012	0.8727	12.5069	9.4999	0.6173	2.4105	2.9494	24	0	32.9083	20.9658	106	2	0.5502	2.5155	24	0	2.18	2.0831	8	0	27.05	13.1565	77	2	0.08	0.3799	4	0	0.104	5	19.6157	10.5794	60.9394	3.5568	115.6577	437.7892
