Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	469.8	92.01	4.7057	7.8046	0.9708	2.9418	2.1445	0.4729	12.3077	160	13.3316	37	0	37	41.4615	539	20.0275	77	17	60	9.6923	126	12.0096	31	0	31	112.9373	37.8207	0.9922	12.8347	11.2718	0.3954	1.5621	3.7846	37	0	7.4724	8.8725	77	1	0.6655	3.2211	31	0	1.0578	1.2555	6	0	5.8773	2.8322	21	1	0.2419	0.7585	5	0	0.0299	5	79.6266	46.7805	157.1265	33.1418	513.6605	733.8421
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	312.66	92.95	7.0586	10.652	0.7817	4.2439	2.2223	0.8098	5.5238	116	6.9686	20	0	20	34.381	722	13.1548	57	15	42	5.2857	111	7.1214	20	0	20	130.5838	40.8077	0.9854	14.1045	11.6537	0.5435	1.3574	2.4718	20	0	7.7357	8.1457	57	1	0.4655	2.2014	20	0	1.0769	1.4657	6	0	5.9423	2.9218	21	1	0.141	0.4871	3	0	0.0527	5	133.4632	149.4624	202.1165	41.2412	5303.6118	11499.1562
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	514.41	95.95	3.1371	6.1794	1	2.2112	1.7194	0.5477	16.6	166	16.2836	56	0	56	57	570	23.4994	107	24	83	15.7	157	16.5331	56	0	56	103.918	36.2574	0.9934	12.0315	10.6456	0.309	1.6955	4.4992	56	0	9.4474	11.0811	107	1	0.6541	4.2729	56	0	1.1133	1.6206	6	0	7.5898	3.997	24	1	0.0664	0.3185	2	0	0.0257	6	57.0627	52.4784	95.7599	34.1819	700.6583	1283.0453
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	353.57	96.83	2.745	5.7529	1	1.8917	1.7656	0.3531	15.125	121	16.3133	34	0	34	46.5	372	24.0832	75	20	55	15.125	121	16.3133	34	0	34	98.8202	35.3538	0.9935	11.813	10.6456	0.2046	0.8419	3.8512	34	0	12.0672	7.7802	75	4	0.6047	3.8206	34	0	0.3755	0.8812	5	0	10.9429	2.3947	17	4	0.1306	0.55	4	0	0.0247	4	80.5898	82.4682	116.1815	41.2412	1391.3116	3148.0037
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	423.41	98.56	3.9214	7.0117	1	2.5646	1.8786	0.5874	23.5455	259	29.344	91	0	91	91.5455	1007	37.914	165	47	118	24	264	29.7422	92	0	92	105.0945	36.585	0.9867	12.3205	10.6456	0.3676	1.8333	7.3408	91	0	20.5333	17.0703	165	5	0.9963	7.4472	92	0	0.9112	1.3625	6	0	17.5174	4.8961	36	5	0.0193	0.1379	1	0	0.0286	4	65.1659	58.2892	98.4946	45.5905	1588.734	3148.0037
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	608.57	113.67	5.49	8.1837	1	2.8909	2.2404	0.6114	6.8667	103	10.6628	32	0	32	40.4667	607	18.5429	77	23	54	7	105	10.3303	31	0	31	114.5059	37.9834	0.9974	12.7546	11.2718	0.3615	0.7406	2.8873	32	0	7.8362	8.9627	77	2	0.4608	2.7516	31	0	0.4101	0.9486	5	0	6.0755	2.5558	19	2	0.1079	0.3836	2	0	0.0359	5	74.2991	79.0946	95.7599	32.8245	1094.4146	3025.5249
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	543.43	113.97	1.9607	4.7828	1	1.9266	1.1132	0.7651	14	84	11.0815	25	0	25	38.6667	232	16.5972	53	17	36	14	84	11.0815	25	0	25	96.8594	34.9851	0.9945	11.541	10.0194	0.4399	1.7097	2.9838	25	0	12.0161	8.3146	53	3	0.4919	2.704	25	0	1.405	1.6502	7	0	11.3554	6.857	29	3	0.157	0.5391	4	0	0.0118	3	30.9464	32.3323	34.1819	26.3249	363.0169	449.916
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	575.77	115.62	3.5293	6.7576	0.9712	2.5607	1.7193	0	10.9091	120	13.2397	43	0	43	49	539	20.035	92	25	67	10.8182	119	13.1668	43	0	43	108.2316	36.9931	0.9939	12.3979	10.6456	0.4313	0.7978	3.399	43	0	13.0469	9.4873	92	3	0.4838	3.2865	43	0	0.3797	0.9993	7	0	11.5602	4.7668	27	3	0.0564	0.3019	2	0	0.0286	5	48.3118	50.6691	64.4053	32.3323	702.8047	1165.8953
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	461.19	124	3.5293	6.1369	1	2.3022	1.5551	0.6658	11.3	113	13.5076	43	0	43	46.3	463	18.5176	86	25	61	11.3	113	13.4334	43	0	43	103.918	36.2589	0.9933	12.332	10.6456	0.3881	0.7895	3.3434	43	0	10.4135	8.2459	86	3	0.6128	3.3064	43	0	0.3789	0.8219	5	0	9.0117	2.4662	23	3	0.1953	0.5815	3	0	0.0213	6	71.3721	64.7064	118.0037	33.1418	2125.2136	5870.9761
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	529.53	136.27	1.1764	4.4604	0.7431	1.554	1.2517	0.7303	24.6667	148	19.6638	46	0	46	65.5	393	26.0979	92	32	60	24.6667	148	19.6638	46	0	46	95.683	34.646	1	11.5312	10.6456	0.2705	1.2571	4.7765	46	0	14.5143	9.5988	92	6	0.6857	4.7567	46	0	0.6695	1.051	5	0	13.2343	3.6014	25	6	0.0837	0.4598	4	0	0.0137	7	49.861	47.1221	69.3584	26.3249	830.9703	1930.1313
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	172.2	144.33	4.3136	7.3594	1	2.6302	1.8786	0.6847	6.75	81	9.7433	29	0	29	41.25	495	16.1196	74	25	49	6.9167	83	9.5104	29	0	29	107.0552	36.9573	0.985	12.3476	10.6456	0.3254	2.4708	4.3198	29	0	12.3285	9.3723	74	2	0.4161	2.3924	29	0	2.2748	3.8258	17	0	11.0038	6.3803	31	2	0.1183	0.3782	2	0	0.0352	4	96.1886	103.8581	149.4624	27.5757	2904.9707	7571.6919
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	668.36	161.02	5.8822	9.1133	0.89	3.249	2.3329	0.708	25.3333	456	27.7531	95	0	95	123.7778	2228	44.9778	205	55	150	24.7222	445	28.4931	95	0	95	115.2902	38.5999	0.9724	13.2845	11.4864	0.488	4.1751	9.5335	95	0	19.3131	30.7732	205	1	1.8552	9.2241	95	0	2.81	4.3378	45	0	12.5735	11.5076	73	1	0.3799	2.2148	31	0	0.0499	4	78.7635	94.1127	116.0637	10.7649	1147.5795	3025.5249
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	157.73	167.71	9.0193	11.6254	0.8386	4.4554	2.9629	0.6566	3.037	82	5.1551	18	0	18	40.2963	1088	13.129	69	23	46	2.963	80	5.0572	17	0	17	139.9952	42.0613	0.9944	14.1377	12.5243	0.4347	0.595	1.8759	18	0	15.5251	9.3971	69	4	0.3715	1.6966	17	0	0.3958	1.0887	8	0	13.5045	5.2584	39	4	0.1601	0.7103	8	0	0.0653	4	60.3639	64.7001	84.4799	27.5757	844.1767	1194.6294
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	677.6	167.34	5.49	8.045	1	2.8656	2.1634	0.6114	19.6667	295	22.1832	66	0	66	78.0667	1171	33.7077	139	33	106	18.2667	274	20.6102	64	0	64	109.408	37.4344	0.9811	12.141	11.2718	0.2646	2.225	6.832	66	0	10.8393	18.2686	139	1	1.1393	6.2002	64	0	1.2377	2.2293	11	0	7.034	4.5961	31	1	0.1698	0.7	5	0	0.0399	6	126.8277	139.9661	209.5502	10.7649	4030.1907	10439.3906
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	559.03	172.52	18.4307	19.0629	0.6373	8.0768	3.2147	0.9181	19.9184	976	6.0856	33	4	29	54.8776	2689	3.4498	62	45	17	0.0816	4	0.4489	3	0	3	122.3488	43.1837	0.8245	16.8334	9.299	0.8295	11.8471	7.3798	33	0	41.3439	11.6032	62	13	0.1083	0.7201	8	0	10.3547	6.5962	27	0	38.8415	10.8249	60	13	0.1132	0.7603	8	0	0.1447	6	53.7805	54.2249	111.6876	4.357	1054.1937	3025.5249
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	552.38	177.12	12.5486	15.7292	0.6374	6.5414	2.8209	0.9143	16.8649	624	2.6787	27	13	14	52.6486	1948	2.7408	58	48	10	0.0811	3	0.4932	3	0	3	114.1137	43.7418	0.7495	16.6601	9.0432	0.8583	8.2945	7.0581	30	0	35.8356	12.7673	58	6	0.0925	0.6488	9	0	7.051	6.6185	30	0	33.3961	11.7699	54	6	0.0941	0.6692	9	0	0.1116	4	22.3108	18.9957	46.8946	4.357	106.6144	255.8643
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	381.59	187.8	2.745	5.8956	0.9924	2.1525	1.6133	0.3531	12.8889	116	15.5599	34	0	34	45.1111	406	21.8943	75	24	51	12.6667	114	15.3704	34	0	34	102.3494	35.9022	0.9978	11.8333	10.6456	0.3412	0.5992	3.6087	34	0	9.4618	8.191	75	4	0.5267	3.5543	34	0	0.1621	0.4644	2	0	8.1937	2.6959	21	4	0.0949	0.3658	2	0	0.0235	11	161.9818	175.7769	218.1127	95.1385	6969.8687	11975.0352
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	558.64	192.22	29.8029	25.9235	0.5573	9.7166	4.8561	0.9011	20.8519	1689	5.4339	32	6	26	53.4938	4333	6.9049	64	35	29	0.1852	15	0.6729	4	0	4	162.7395	51.645	0.7667	20.3291	10.2628	0.8691	11.5659	8.0519	32	0	34.4269	12.8377	64	8	0.1703	0.7547	10	0	9.3274	6.898	27	0	29.8304	9.1748	63	8	0.1667	0.774	10	0	0.187	6	57.5875	41.9823	123.2139	5.1501	912.3828	3781.6191
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	552.45	198.07	17.6465	21.1624	0.4951	8.4718	3.7939	0.9062	17.6471	900	5.8577	30	7	23	52.2353	2664	5.1013	63	40	23	0.2353	12	0.7096	3	0	3	129.7995	47.3939	0.7262	19.0184	9.2405	0.8641	9.5181	7.9147	30	0	38.5512	9.8447	63	18	0.1657	0.6639	5	0	8.0427	7.3284	28	0	36.0676	8.3443	57	18	0.153	0.6558	5	0	0.1427	6	73.7641	63.0781	172.4159	5.1501	2233.3738	5870.9761
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	102.45	220.79	18.0386	18.8645	0.637	7.8518	3.1191	0.9303	2.7115	141	4.599	17	0	17	48.3077	2512	13.9811	87	28	59	2.8269	147	4.6049	17	0	17	184.3074	49.6273	0.9404	18.2194	12.8827	0.7073	0.8047	1.9915	17	0	15.6624	14.5218	87	1	0.4459	1.8383	17	0	0.568	1.1706	7	0	11.611	8.0149	41	1	0.1504	0.648	7	0	0.0997	5	60.382	45.7798	103.2558	37.002	620.4736	1194.6294
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	148.45	219.92	6.2743	9.3102	0.9096	3.4902	1.9508	0.8555	5.3889	97	7.2122	27	0	27	42.1667	759	11.8632	72	22	50	5.4444	98	7.1226	27	0	27	122.3488	39.5799	0.9814	13.356	11.2718	0.4657	0.6955	2.2469	27	0	11.4808	9.8979	72	2	0.4744	2.2077	27	0	0.4082	0.9511	10	0	9.602	5.8678	46	2	0.1701	0.787	11	0	0.0437	4	42.5589	45.2724	53.1135	26.577	829.6942	1194.6294
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	133.02	241.6	18.0386	18.9634	0.6303	8.0515	3.7097	0.8771	2.098	107	3.7216	13	0	13	48.098	2453	18.1254	88	13	75	2.3333	119	3.7506	13	0	13	190.1896	50.5233	0.9363	18.2924	13.1183	0.7198	0.4774	1.8317	16	0	15.9362	14.5971	88	2	0.4609	1.8516	16	0	0.2874	1.345	16	0	12.1655	8.0288	56	2	0.2414	1.323	16	0	0.0927	6	36.7523	34.4144	50.5594	26.577	533.6491	1101.5985
72D_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	183.16	248.27	5.49	9.0731	0.8381	3.5941	1.8733	0.8132	15.1176	257	17.4638	56	0	56	69.3529	1179	29.3278	130	37	93	15.1176	257	17.6277	56	0	56	119.9959	39.0889	0.9869	13.646	11.6513	0.4879	1.4156	5.2942	56	0	9.6948	16.4597	130	0	0.9448	5.3026	56	0	0.6151	1.0937	5	0	6.2096	4.3041	34	0	0.1168	0.3984	2	0	0.0438	10	100.3543	75.5763	207.352	44.765	3864.0598	11975.0352
