Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Num Detections	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm	condition
73E_1_FITC.tif	PathAnnotationObject		Image	Polygon	445.84	272.53	20.0	20.0	100.0	136.24	146796.2	1733.0	Fed
75A_4_FITC.tif	PathAnnotationObject		Image	Polygon	490.98	302.63	60.0	60.0	100.0	426.55	140663.8	1438.3	Fed
75A_5_FITC.tif	PathAnnotationObject		Image	Polygon	458.66	328.61	83.0	83.0	100.0	527.66	157299.0	1555.1	Fed
90C_3_FITC.tif	PathAnnotationObject		Image	Polygon	412.88	321.63	23.0	23.0	100.0	114.64	200630.0	1901.7	Starved
90C_2_FITC.tif	PathAnnotationObject		Image	Polygon	418.32	288.07	31.0	31.0	100.0	148.55	208682.1	1864.8	Starved
86C_5_FITC.tif	PathAnnotationObject		Image	Polygon	429.73	305.97	112.0	112.0	100.0	807.98	138617.3	1538.4	Starved
90A_1_FITC.tif	PathAnnotationObject		Image	Polygon	431.64	319.57	4.0	4.0	100.0	55.03	72683.9	1043.8	Starved
86C_4_FITC.tif	PathAnnotationObject		Image	Polygon	379.17	339.04	111.0	111.0	100.0	796.46	139366.6	1506.7	Starved
86B_1_FITC.tif	PathAnnotationObject		Image	Polygon	390.78	304.5	83.0	83.0	100.0	771.89	107527.8	1278.8	Starved
85F_1_FITC.tif	PathAnnotationObject		Image	Polygon	440.72	295.42	59.0	59.0	100.0	460.39	128153.3	1445.3	Starved
85F_2_FITC.tif	PathAnnotationObject		Image	Polygon	442.45	274.02	81.0	81.0	100.0	501.83	161408.2	1582.3	Starved
72B_3_FITC.tif	PathAnnotationObject		Image	Polygon	449.84	322.37	32.0	32.0	100.0	157.29	203450.1	1721.8	Fed
72B_4_FITC.tif	PathAnnotationObject		Image	Polygon	452.13	289.3	32.0	32.0	100.0	147.43	217055.9	1799.2	Fed
72E_1_FITC.tif	PathAnnotationObject		Image	Polygon	428.97	343.06	13.0	13.0	100.0	64.82	200540.3	1734.6	Fed
72D_5_FITC.tif	PathAnnotationObject		Image	Polygon	416.99	344.86	39.0	39.0	100.0	178.6	218370.3	1796.5	Fed
84E_4_FITC.tif	PathAnnotationObject		Image	Polygon	386.71	319.98	29.0	29.0	100.0	198.39	146174.0	1514.1	Starved
84E_5_FITC.tif	PathAnnotationObject		Image	Polygon	363.13	288.69	23.0	23.0	100.0	164.04	140206.2	1402.5	Starved
75F_4_FITC.tif	PathAnnotationObject		Image	Polygon	453.17	256.67	14.0	14.0	100.0	210.41	66537.9	1167.1	Fed
75B_5_FITC.tif	PathAnnotationObject		Image	Polygon	497.55	333.88	21.0	21.0	100.0	153.31	136979.0	1523.5	Fed
75B_6_FITC.tif	PathAnnotationObject		Image	Polygon	409.16	342.46	42.0	42.0	100.0	250.28	167809.5	1717.5	Fed
84F_2_FITC.tif	PathAnnotationObject		Image	Polygon	427.54	329.54	44.0	44.0	100.0	357.19	123183.4	1317.4	Starved
85G_1_FITC.tif	PathAnnotationObject		Image	Polygon	508.24	290.75	90.0	90.0	100.0	886.34	101541.7	1215.5	Starved
85F_5_FITC.tif	PathAnnotationObject		Image	Polygon	437.31	287.73	55.0	55.0	100.0	341.83	160897.3	1551.3	Starved
75E_2_FITC.tif	PathAnnotationObject		Image	Polygon	404.5	319.53	31.0	31.0	100.0	200.85	154345.9	1637.7	Fed
75E_3_FITC.tif	PathAnnotationObject		Image	Polygon	395.97	301.5	38.0	38.0	100.0	251.06	151357.4	1648.8	Fed
80C_2_FITC.tif	PathAnnotationObject		Image	Polygon	361.8	354.85	8.0	8.0	100.0	140.83	56808.0	891.87	Starved
80C_3_FITC.tif	PathAnnotationObject		Image	Polygon	274.32	368.44					57301.1	897.62	Starved
73F_1_FITC.tif	PathAnnotationObject		Image	Polygon	454.84	284.16	19.0	19.0	100.0	140.76	134977.5	1547.4	Fed
73E_6_FITC.tif	PathAnnotationObject		Image	Polygon	444.6	247.2	48.0	48.0	100.0	312.51	153596.6	1555.1	Fed
85E_2_FITC.tif	PathAnnotationObject		Image	Polygon	441.31	268.03	97.0	97.0	100.0	838.55	115675.5	1604.8	Starved
85E_3_FITC.tif	PathAnnotationObject		Image	Polygon	505.8	322.82	67.0	67.0	100.0	676.28	99071.6	1315.5	Starved
86C_1_FITC.tif	PathAnnotationObject		Image	Polygon	348.76	291.57	24.0	24.0	100.0	197.38	121595.8	1405.9	Starved
90A_5_FITC.tif	PathAnnotationObject		Image	Polygon	426.77	308.64	28.0	28.0	100.0	207.64	134846.2	1395.0	Starved
86A_3_FITC.tif	PathAnnotationObject		Image	Polygon	410.15	279.01	44.0	44.0	100.0	835.89	52638.2	942.79	Starved
90D_2_FITC.tif	PathAnnotationObject		Image	Polygon	417.01	322.22	57.0	57.0	100.0	275.91	206589.6	2065.0	Starved
90D_1_FITC.tif	PathAnnotationObject		Image	Polygon	353.69	294.78	9.0	9.0	100.0	66.87	134596.5	1710.5	Starved
72E_5_FITC.tif	PathAnnotationObject		Image	Polygon	436.55	308.04	41.0	41.0	100.0	231.6	177029.5	1634.4	Fed
72E_4_FITC.tif	PathAnnotationObject		Image	Polygon	422.28	316.33	17.0	17.0	100.0	103.27	164621.7	1507.1	Fed
73D_4_FITC.tif	PathAnnotationObject		Image	Polygon	398.16	289.7	33.0	33.0	100.0	204.63	161262.9	1777.7	Fed
73D_3_FITC.tif	PathAnnotationObject		Image	Polygon	410.58	282.59	13.0	13.0	100.0	82.12	158311.3	1585.8	Fed
73A_4_FITC.tif	PathAnnotationObject		Image	Polygon	444.66	312.63	25.0	25.0	100.0	281.01	88965.6	1276.2	Fed
73A_5_FITC.tif	PathAnnotationObject		Image	Polygon	491.61	327.34	18.0	18.0	100.0	161.17	111682.5	1316.9	Fed
84D_5_FITC.tif	PathAnnotationObject		Image	Polygon	425.27	313.32	56.0	56.0	100.0	383.55	146005.1	1492.0	Starved
