Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Channel 1 mean	Nucleus: Channel 1 sum	Nucleus: Channel 1 std dev	Nucleus: Channel 1 max	Nucleus: Channel 1 min	Nucleus: Channel 1 range	Nucleus: Channel 2 mean	Nucleus: Channel 2 sum	Nucleus: Channel 2 std dev	Nucleus: Channel 2 max	Nucleus: Channel 2 min	Nucleus: Channel 2 range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
36_23_merge.tif	334e0027-d1e6-46a8-9882-252266d34493	Cell		Positive	Annotation	Polygon	1101.3	429.87	49	26.6844	0.8647	10.472	5.8347	0.7982	59.1373	3016	33.0067	104	0	104	49.4118	2520	24.8702	104	16	88	227	54.5129	0.9599	19.7124	14.9033	0.6415	13.2863	29.2047	104	0	32.1278	18.9372	104	1	0	0	0	0	27.1193	13.1953	63	1	0.2105	7	426.0418	386.5609	796.1028	118.7676	24611.1465	114252.2734
36_23_merge.tif	ad37e656-16b3-4cdb-a254-57e760db4a40	Cell		Positive	Annotation	Polygon	1172.7	524.71	67	32.0382	0.8203	12.0978	8.4058	0.7181	95.5556	6880	27.6288	160	60	100	58.0972	4183	29.6573	130	7	123	271	60.0485	0.9444	21.5082	16.9706	0.6003	27.9819	45.5154	160	0	60.8877	55.4587	231	0	4.1324	18.6629	118	0	61.8725	62.0901	231	0	0.2466	3	58.4364	32.5611	118.7676	23.9805	629.8279	1176.1876
36_23_merge.tif	9be466cc-39f5-41c3-b6ee-8d04d462d033	Cell		Positive	Annotation	Polygon	1165.2	546.12	103	51.2116	0.4935	19.7893	9.9404	0.817	65.1402	6970	36.1693	127	0	127	53.4393	5718	20.3137	104	16	88	351	76.0617	0.7624	29.5074	16.5108	0.8395	20.7881	36.2979	127	0	43.9435	25.5827	138	2	1.5749	10.0325	75	0	39.83	26.5542	138	2	0.3036	4	45.3994	18.6804	133.7613	10.4754	497.904	1176.1876
36_23_merge.tif	b13d3551-ebcb-4004-9441-ef8ebd4e88ff	Cell		Positive	Annotation	Polygon	313.73	544.35	53	26.5582	0.9442	9.5881	7.2069	0.6652	72.9464	4085	13.9093	103	0	103	120.1964	6731	22.7919	159	59	100	168	48.6141	0.8933	16.3718	14.1439	0.5111	25.3136	35.589	103	0	109.4201	30.7061	186	43	1.708	10.4023	68	0	104.0796	32.7469	186	43	0.296	4	227.8241	52.5097	796.1028	10.1741	3589.1931	10193.6777
36_23_merge.tif	1719e42f-ec9a-466e-8011-6fc36b64c40f	Cell		Positive	Annotation	Polygon	321.6	558.73	60	37.7591	0.5288	16.1109	6.3122	0.9351	74.2698	4679	19.2515	110	0	110	118.0476	7437	34.8237	203	46	157	246	60.9787	0.8314	23.6148	14.9812	0.786	18.7912	33.7545	110	0	114.0321	33.2038	203	46	0	0	0	0	112.672	32.6216	199	50	0.2422	4	84.5292	48.3809	227.9871	13.368	2270.6587	7579.2339
36_23_merge.tif	8e7f6cfa-383c-4bd9-bc8f-45c5a2e2f020	Cell		Positive	Annotation	Polygon	307.23	555.71	31	20.3529	0.9404	7.5375	5.4296	0.7144	70.8235	2408	15.9478	96	0	96	75.1176	2554	20.0571	126	42	84	140	42.7482	0.9627	14.907	11.7851	0.5525	16.9577	31.2961	96	0	62.9789	28.5156	135	12	0	0	0	0	59.1574	29.7639	135	12	0.2201	4	159.369	126.0438	375.2143	10.1741	1208.3036	2630.0276
36_23_merge.tif	6c6ae5cc-19c5-407c-ab74-034aadfc7148	Cell		Positive	Annotation	Polygon	402.65	558.55	80	33.7443	0.8829	12.6438	8.9933	0.676	85.4337	7091	18.6627	137	60	77	90.5422	7515	17.0496	129	53	76	269	59.2684	0.9623	20.5694	17	0.4752	26.4889	40.8389	137	0	83.5481	31.9221	184	17	0.3262	4.4608	61	0	80.4438	36.2502	184	17	0.2979	5	217.9495	90.6168	709.6422	15.8206	4294.9517	10193.6777
36_23_merge.tif	488f3100-a2fa-4d15-94cb-2bf5fd488254	Cell		Positive	Annotation	Polygon	1170.7	558.6	25	18.1733	0.9512	6.9269	4.7301	0.6477	64.037	1729	24.6381	93	0	93	39.963	1079	18.0586	68	8	60	97	36.2148	0.9294	12.4966	10.1381	0.5158	16.951	31.0214	93	0	27.2941	14.698	68	5	0	0	0	0	22.7333	10.0315	49	5	0.2327	4	90.8899	21.5183	311.1468	9.3763	296.9692	758.55
36_23_merge.tif	b9a4759b-ab38-45aa-9545-fe7206cc006e	Cell		Positive	Annotation	Polygon	419.71	561.17	68	29.9659	0.9516	10.1162	8.7935	0.3725	72.4084	5141	12.8091	104	0	104	76.5493	5435	18.1138	118	43	75	240	56.563	0.9427	19.3294	15.948	0.5096	21.9625	34.0105	104	0	65.2083	27.9021	167	17	0.7692	7.0635	69	0	60.4438	29.8938	167	17	0.2755	4	371.8657	388.4781	694.6861	15.8206	40718.8008	114252.2734
36_23_merge.tif	d90bcf45-c0c9-4621-b78f-86620d771a1c	Cell		Positive	Annotation	Polygon	1159.1	561.01	29	19.1972	0.9889	7.0564	4.8695	0.6744	70.8667	2126	32.5224	116	0	116	34.4667	1034	13.2762	55	12	43	132	41.602	0.9584	14.3754	11.8228	0.5649	15.6324	33.1217	116	0	28.1029	12.0168	55	1	0	0	0	0	26.3019	11.0515	50	1	0.1935	4	117.1763	78.0758	303.1771	9.3763	5260.3389	19550.8457
