Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Channel 1 mean	Nucleus: Channel 1 sum	Nucleus: Channel 1 std dev	Nucleus: Channel 1 max	Nucleus: Channel 1 min	Nucleus: Channel 1 range	Nucleus: Channel 2 mean	Nucleus: Channel 2 sum	Nucleus: Channel 2 std dev	Nucleus: Channel 2 max	Nucleus: Channel 2 min	Nucleus: Channel 2 range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
88_5_merge.tif	b52c7eae-cac2-4e52-a251-51286363eb67	Cell		Positive	Annotation	Polygon	2149.3	609.25	217	67.7444	0.5942	21.0372	17.3916	0.5045	64.7215	14174	14.0206	93	0	93	62.3516	13655	26.0499	166	24	142	545	90.2709	0.8404	30.1703	26.0754	0.4358	27.6892	33.15	93	0	61.6709	31.124	188	18	2.9634	13.1209	67	0	61.2165	34.1255	188	18	0.3953	6	799.7618	861.271	1456.5237	17.4932	45526.2266	113680.9453
88_5_merge.tif	36c67dcb-b57d-43ec-9d1e-6a623778e039	Cell		Positive	Annotation	Polygon	2350.1	604.03	40	22.4841	0.9943	7.8477	6.261	0.6045	98.9286	4155	33.363	154	0	154	66.5	2793	16.6004	101	38	63	199	50.1862	0.9929	16.6581	15.0849	0.3611	20.5693	42.9751	154	0	74.505	25.4483	132	26	0	0	0	0	76.6062	26.9491	132	26	0.1902	5	537.2159	366.2597	1095.6775	197.2989	32660.5176	78022.4922
88_5_merge.tif	06f7386f-0899-4db8-9ba0-b1900c0ae4f1	Cell		Positive	Annotation	Polygon	2154.6	628.25	61	29.5711	0.8766	10.8749	7.673	0.7245	56.3281	3605	16.773	69	0	69	186.7031	11949	23.0332	214	131	83	216	54.0911	0.9277	19.7486	13.2502	0.7336	16.9909	27.4524	69	0	154.411	36.7752	214	86	0.7484	6.5669	58	0	141.0774	32.9412	210	86	0.2791	4	337.9796	322.712	689.0013	17.4932	47601.6562	148778.9688
88_5_merge.tif	fb84370e-d8f5-47d6-8491-68be6e06547a	Cell		Positive	Annotation	Polygon	2461.4	952.83	198	59.1309	0.7116	17.8214	16.2179	0.4004	86.322	17696	30.7682	165	0	165	190.4439	39041	15.7388	214	137	77	525	83.4169	0.9481	27.273	25.101	0.0613	36.2665	45.929	165	0	169.4688	31.0747	214	68	4.5957	15.9389	67	0	156.1975	31.0831	201	68	0.3842	7	451.5098	370.4351	714.6473	356.0784	67045.4922	148778.9688
88_5_merge.tif	89e1a892-6e2b-4a1f-ba80-7493cb7f8385	Cell		Positive	Annotation	Polygon	2971.7	1147.4	38	21.9376	0.9922	7.7111	6.2097	0.4733	64.7	2588	36.1608	116	0	116	39.8	1592	6.3051	51	28	23	196	50.0679	0.9825	17.1847	15	0.4496	13.0707	30.6124	116	0	42.9949	8.3857	64	18	0	0	0	0	43.8038	8.6661	64	18	0.1859	5	578.6675	601.106	825.7647	271.8639	83456.8828	136432.2656
88_5_merge.tif	01d08b43-af6b-49bc-abb7-530de87bfa5b	Cell		Positive	Annotation	Polygon	1797.8	1216.8	93	39.7682	0.739	16.9158	7.9684	0.8929	50.6383	4760	27.1352	84	0	84	22.9681	2159	7.7826	38	6	32	328	67.6708	0.9001	26.1875	16.9706	0.7739	14.6951	27.2201	84	0	24.9634	10.3849	55	6	0.2564	3.9223	60	0	25.765	11.1771	55	7	0.2889	9	439.6437	564.0877	714.6473	55.8219	47780.3555	148778.9688
88_5_merge.tif	ef23ef9a-cc85-4cbd-abb5-04f39ea85f1b	Cell		Positive	Annotation	Polygon	1753.3	1249.8	182	55.2678	0.7487	22.0576	11.8348	0.828	72.4595	13405	8.7003	92	57	35	34.9784	6471	19.6303	112	3	109	444	80.5725	0.8594	29.9014	20.7582	0.6414	32.651	36.0488	92	0	32.7718	23.1141	137	3	4.542	15.8384	64	0	31.2137	25.2072	137	4	0.4145	5	56.0678	55.8219	100.7047	15.3502	618.5353	960.2098
88_5_merge.tif	1f64a69c-9e31-457e-b3bf-8fba5c49d13c	Cell		Positive	Annotation	Polygon	1756.8	1268.3	51	28.2044	0.8056	9.6293	7.8404	0.3359	64.9464	3637	17.6917	88	0	88	88.6429	4964	36.4694	154	26	128	151	47.1409	0.8539	16.4541	12.1089	0.623	24.3355	33.2976	88	0	60.3935	36.9048	154	15	1.3636	9.5452	68	0	44.4141	26.0737	144	15	0.3365	4	52.8532	51.0867	100.2111	9.0284	610.2222	1467.5667
88_5_merge.tif	e61f0ee3-3f2d-4d4e-b75b-c5ae724cd0da	Cell		Positive	Annotation	Polygon	1768.6	1264.1	29	19.4635	0.962	7.3058	4.8436	0.6853	69.2581	2147	16.1987	94	0	94	73.5806	2281	27.0712	120	35	85	120	40.1286	0.9364	13.451	11.4226	0.5294	17.3145	31.1559	94	0	73	42.0866	161	19	0	0	0	0	72.8064	46.1411	161	19	0.2112	6	243.5931	82.3655	634.7708	9.0284	22255.0547	81020.7188
88_5_merge.tif	877277d5-29c6-46ab-b643-225f29c32611	Cell		Positive	Annotation	Polygon	1657.2	1284.1	596	116.8485	0.5485	39.7397	27.2991	0.7996	101.6549	60688	21.0208	151	0	151	58.4707	34907	49.6963	178	0	178	1114	141.6369	0.6978	48.8147	32.72	0.7861	59.2361	51.0006	151	0	57.7801	45.5261	178	0	10.2534	24.7846	122	0	56.9826	40.2094	157	4	0.5376	6	102.6946	76.0525	245.4582	23.0442	1761.3422	5594.5381
88_5_merge.tif	f57902cf-3522-4f5b-b442-ad68d669a737	Cell		Positive	Annotation	Polygon	2355.6	1295.5	122	42.2515	0.8588	13.5235	12.0327	0.3187	117.352	14669	13.6891	142	85	57	32.072	4009	7.3695	47	12	35	318	65.7545	0.9242	22.4265	17.345	0.6107	82.3072	41.3527	142	0	30.7555	10.1447	62	7	59.7268	37.2727	134	0	29.9072	11.5252	62	7	0.3834	5	230.9782	196.8035	564.0877	12.7546	31933.9648	100072.8672
88_5_merge.tif	7937b9d9-3bc5-46b3-9e7c-e250f4a5ce09	Cell		Positive	Annotation	Polygon	1678.3	1299.1	171	48.177	0.9258	16.9977	13.6217	0.5194	91.64	16037	17.5247	127	58	69	16.84	2947	8.5667	37	2	35	387	72.5975	0.9227	24.9	20.7417	0.4513	45.8355	46.2069	127	0	16.1645	7.8115	42	2	8.3785	22.4723	101	0	15.6121	7.1078	42	2	0.4397	5	55.5966	43.6696	89.815	23.0442	815.3054	1467.5667
88_5_merge.tif	831bdf09-6eda-4b30-9c0d-b06dfc0bd364	Cell		Positive	Annotation	Polygon	2379.1	1298.3	123	47.3969	0.688	15.6769	12.858	0.4987	116.36	14545	13.9078	142	77	65	130.248	16281	45.9687	213	54	159	308	64.7248	0.9239	21.5494	19.1928	0.4194	84.6129	44.4755	142	0	123.1032	43.6672	213	51	63.1622	45.2126	125	0	118.2757	41.4735	210	51	0.4017	5	88.2104	22	356.0784	16.0672	1608.941	3891.4695
88_5_merge.tif	845a433e-c9a4-48c9-8026-91e6bab56974	Cell		Positive	Annotation	Polygon	3199.1	1296.5	46	24.6064	0.9547	8.7643	6.6743	0.6376	78.2653	3835	28.9373	127	0	127	97.7551	4790	16.5423	133	61	72	212	52.2258	0.9767	17.6925	15	0.4929	18.1023	35.7258	127	0	112.0791	37.1098	208	61	0.3434	4.4241	57	0	116.3072	40.3433	208	62	0.2044	5	719.9142	764.1505	1095.6775	271.8639	97247.6016	209026.2812
88_5_merge.tif	75c257d2-de69-4023-8bfb-25e55a6f59d4	Cell		Positive	Annotation	Polygon	1623.1	1304.5	91	42.2652	0.6402	17.5808	7.4179	0.9108	62.5	6000	13.3093	88	0	88	25.375	2436	5.9987	35	10	25	346	70.8155	0.867	26.8248	16.4928	0.7901	17.341	28.8817	88	0	22.8844	10.4323	64	4	0	0	0	0	21.928	11.5652	64	4	0.2732	5	134.9201	182.6891	207.6535	40.8675	4244.8096	11935.2139
88_5_merge.tif	9ed3be0b-18d6-465d-8134-2f2e161312f0	Cell		Positive	Annotation	Polygon	2362.9	1308.3	100	42.3849	0.6995	16.6514	10.0569	0.8276	129.2243	13827	9.1747	144	100	44	62.8411	6724	40.0189	178	21	157	203	58.063	0.7567	23.7791	12.4169	0.8354	113.1394	23.8606	144	63	81.4952	50.9957	194	21	96.099	22.7853	143	63	101.2574	54.0257	194	28	0.5131	4	58.6595	17.6174	186.6486	12.7546	552.4315	1219.3079
88_5_merge.tif	e97535fa-3649-4fa6-960b-f960a47d232f	Cell		Positive	Annotation	Polygon	2376.1	1322.4	258	73.3412	0.6027	24.8388	14.4321	0.8468	123.2252	32285	14.9991	150	81	69	87.7328	22986	39.7533	179	17	162	493	89.41	0.775	31.6687	21.4146	0.7662	98.2667	42.6746	150	0	76.4505	43.153	195	6	70.2017	46.1532	135	0	63.764	43.3809	195	6	0.5116	4	58.2812	20.5663	173.1174	18.875	782.7055	1561.65
