Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Channel 1 mean	Nucleus: Channel 1 sum	Nucleus: Channel 1 std dev	Nucleus: Channel 1 max	Nucleus: Channel 1 min	Nucleus: Channel 1 range	Nucleus: Channel 2 mean	Nucleus: Channel 2 sum	Nucleus: Channel 2 std dev	Nucleus: Channel 2 max	Nucleus: Channel 2 min	Nucleus: Channel 2 range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Channel 1 mean	Cell: Channel 1 std dev	Cell: Channel 1 max	Cell: Channel 1 min	Cell: Channel 2 mean	Cell: Channel 2 std dev	Cell: Channel 2 max	Cell: Channel 2 min	Cytoplasm: Channel 1 mean	Cytoplasm: Channel 1 std dev	Cytoplasm: Channel 1 max	Cytoplasm: Channel 1 min	Cytoplasm: Channel 2 mean	Cytoplasm: Channel 2 std dev	Cytoplasm: Channel 2 max	Cytoplasm: Channel 2 min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
71_17_merge.tif	dd0d7994-f316-49ad-9cb9-d7258b1b90f9	Cell		Positive	Annotation	Polygon	2171.5	777.5	390	85.9997	0.6626	30.8321	18.3632	0.8195	103.0355	40596	25.7447	158	60	98	74.3604	29298	16.1157	121	40	81	825	108.4823	0.8809	39.6537	26.8701	0.7386	53.1477	53.1359	158	0	67.9806	18.0315	121	27	7.6481	21.2121	78	0	62.162	17.7312	109	27	0.4762	4	308.1521	193.694	805.4749	39.7455	14369.9033	37643.5273
71_17_merge.tif	b18aa0b2-106b-48d9-a388-e5ef82ef86c6	Cell		Positive	Annotation	Polygon	2201.2	801.6	173	59.7794	0.6083	25.5744	9.2911	0.9298	115.3483	20532	34.5107	189	60	129	59	10502	14.8408	97	35	62	433	81.9567	0.8101	32.1649	18.3848	0.8455	57.8261	58.2015	189	0	58.1487	13.7547	97	27	18.2934	32.4914	109	0	57.5637	12.9528	95	27	0.402	6	511.2786	435.1331	1123.5762	14.6799	81255.7656	291977
71_17_merge.tif	00321ed0-b202-49cd-aed3-912244934037	Cell		Positive	Annotation	Polygon	2216.8	797.05	98	38.5314	0.8295	13.6578	9.8336	0.6262	97.83	9783	20.061	134	60	74	75.67	7567	20.7145	116	44	72	239	58.2596	0.8849	20.6716	16.9199	0.5856	57.175	47.4719	134	0	70.1625	20.9904	116	25	28.1357	39.3675	117	0	66.2286	20.3605	106	25	0.3967	4	98.1135	33.4129	310.9482	14.6799	2463.6621	6995.1582
71_17_merge.tif	e2784018-2f37-4805-8aed-929efb5beccc	Cell		Positive	Annotation	Polygon	1389.2	970.38	903	114.5484	0.8648	43.6702	28.1502	0.7884	146.4569	132397	32.4286	219	69	150	2.9956	2708	3.0619	15	0	15	1447	141.7773	0.9046	52.638	36.9487	0.7345	96.7654	71.1663	219	0	2.7336	2.9357	15	0	14.3413	28.7363	91	0	2.2991	2.6597	13	0	0.6254	5	689.8841	805.4749	1133.0024	257.5635	63119.1719	168325.5312
71_17_merge.tif	3b1a4aba-849d-45c7-b021-a859ab2f99eb	Cell		Positive	Annotation	Polygon	1131.9	977.51	100	37.4216	0.8974	13.6451	9.9631	0.6547	90.5347	9144	20.7169	128	60	68	72.3861	7311	26.5281	122	26	96	317	64.6392	0.9534	22.5109	18	0.5438	28.6646	43.7495	128	0	63.2884	28.1314	122	8	0	0	0	0	59.0734	27.9112	121	8	0.3089	4	547.8045	363.8707	1381.2656	82.2109	38673.4336	54122.7188
71_17_merge.tif	47f14b8c-0375-4b23-af8b-d2d0487387fd	Cell		Positive	Annotation	Polygon	1053.8	1002.2	248	65.9875	0.7157	27.6225	12.4158	0.894	132.9881	33513	37.4312	197	63	134	68.5397	17272	36.1348	137	9	128	594	93.4851	0.8541	36.6684	21.2538	0.8247	62.0839	68.084	197	0	65.5738	35.7427	150	9	10.1424	24.827	100	0	63.4012	35.3474	150	10	0.411	5	805.7967	658.6357	1434.4076	82.2109	50716.3945	107772.1172
71_17_merge.tif	4fe265c2-2131-461e-a5d7-fbf9f8f253a8	Cell		Positive	Annotation	Polygon	1353.9	1391.9	107	40.5826	0.8164	15.4078	9.6304	0.7745	70.3509	8020	14.2989	95	0	95	73.1667	8341	45.071	154	4	150	350	68.6611	0.9329	24.6228	18.4779	0.6335	23.3011	34.0623	95	0	48.0426	42.6766	154	1	0.7647	6.7826	61	0	36.0084	35.7734	146	1	0.3131	8	552.8182	480.917	1033.7318	422.859	96355.1875	291977
71_17_merge.tif	c2f1e0d3-724a-47a9-957c-931b57735932	Cell		Positive	Annotation	Polygon	2463	608.63	286	65.9148	0.8272	24.1376	17.2341	0.6993	156.3241	45334	46.8246	230	63	167	24.6379	7145	9.0058	51	3	48	635	92.6408	0.9298	33.1123	26.3856	0.6152	79.0596	80.2457	230	0	26.8887	10.3509	61	3	14.6724	29.1216	107	0	28.7644	11.017	61	7	0.4515	7	733.0424	792.6621	1381.2656	310.9482	78300.6953	258563.1719
71_17_merge.tif	bae1cf77-071c-445c-a0b4-8b88ab371949	Cell		Positive	Annotation	Polygon	3305.2	798.53	42	23.301	0.9721	8.6697	6	0.737	67.9762	2855	39.2568	118	0	118	14.3095	601	5.7147	23	4	19	200	50.6971	0.9779	17.3973	14	0.5626	14.275	32.9841	118	0	15.045	6.7506	32	0	0	0	0	0	15.2405	7.0036	32	0	0.1947	5	581.4266	537.2596	863.4178	404.2415	106743.7109	258563.1719
71_17_merge.tif	6229727a-937f-425e-938e-5b656619eedd	Cell		Positive	Annotation	Polygon	2225.7	814.11	252	72.2626	0.6064	21.4868	18.6854	0.4739	97.2896	25198	20.7336	137	60	77	87.1429	22570	22.2634	137	46	91	529	87.8971	0.8604	30.1823	25.0457	0.5483	55.9045	48.146	137	0	81.5393	24.7938	140	33	16.9273	30.9945	102	0	76.2618	25.9126	140	33	0.4803	6	506.5304	543.3325	1123.6111	16.3294	101858.3047	338825.1562
