Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
71_13_FITC.tif	a1799926-2411-4c2b-ad87-fb6f0e1c5018	Cell		Positive	Root object (Image)	Polygon	384.36	304.05	43.7751	37.655	0.388	17.6965	3.7909	NaN	5.25	420	5.1077	19	0	19	140.725	11258	40.2316	202	53	149	5.375	430	5.2298	19	0	19	140.9899	60.6156	0.4822	28.4981	7.3637	NaN	2.472	3.8403	19	0	74.08	56.8773	202	11	2.044	3.8016	19	0	1.1647	2.0401	11	0	42.7176	30.2962	191	11	0.4765	0.8851	4	0	0.3105	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	42675fb0-e8ea-4a1c-9bb8-c748c001bfac	Cell		Positive	Root object (Image)	Polygon	388.32	323.95	51.1657	39.1001	0.4206	18.8125	3.8657	NaN	6.2872	591	7.441	28	0	28	176.2553	16568	31.048	223	92	131	8.6277	811	8.7854	40	0	40	145.5379	66.2326	0.4169	31.7929	6.92	NaN	3.0618	5.4207	28	0	106.5598	62.0075	223	13	3.332	6.6721	40	0	1.2242	2.3383	14	0	66.8545	33.6424	136	13	0.3152	1.017	7	0	0.3491	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	f651c7d3-ed47-4957-a0af-cbe868bf972f	Cell		Positive	Root object (Image)	Polygon	392.93	349.34	61.3988	49.3893	0.3163	23.7228	3.6925	NaN	2.2105	252	3.7781	25	0	25	134.614	15346	32.1676	187	81	106	2.1842	249	3.8364	25	0	25	198.9776	79.9166	0.3915	38.1432	6.8237	NaN	1.5	2.7889	25	0	77.4915	47.6933	187	7	0.9205	2.476	25	0	1.1597	2.0867	11	0	50.1303	23.5391	107	7	0.3151	0.9621	8	0	0.3115	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	3fa64b9a-73a6-4781-88ef-ccc09418984b	Cell		Positive	Root object (Image)	Polygon	307.74	364.7	83.5706	55.9022	0.3361	23.5667	5.7309	NaN	1.6645	253	2.7906	17	0	17	107.4605	16334	24.8297	162	60	102	1.7105	260	2.8578	17	0	17	250.7118	82.6395	0.4613	38.2335	8.9211	NaN	1.4695	2.3898	17	0	65.0632	36.5451	162	9	0.8804	2.006	17	0	1.3677	2.1493	11	0	42.9175	16.741	92	9	0.4467	1.1536	7	0	0.3406	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	1f334761-69b8-4522-a57a-6ba0789483ca	Cell		Positive	Root object (Image)	Polygon	397.95	396.64	116.544	67.5084	0.3214	31.1752	6.092	NaN	1.7476	360	2.5594	15	0	15	112.7621	23229	25.1362	161	57	104	1.0194	210	1.6761	9	0	9	310.9736	95.1151	0.432	44.9544	9.843	NaN	2.0527	2.8334	18	0	75.9909	35.6832	161	16	0.6564	1.3497	9	0	2.2355	2.9741	18	0	53.9709	19.0269	104	16	0.439	1.0535	9	0	0.3708	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	92e1b14d-8fe0-40fa-bd16-c97c67859f16	Cell		Positive	Root object (Image)	Polygon	287.24	417.01	45.4806	36.3103	0.4335	15.0068	3.8925	NaN	5.7952	481	6.9978	28	0	28	115.3735	9576	34.1027	176	45	131	2.3373	194	3.0892	16	0	16	160.3191	56.5775	0.6294	24.5562	8.3366	NaN	5.9187	7.4098	33	0	67.311	41.4262	176	11	0.8657	2.0237	16	0	5.97	7.5906	33	0	47.365	24.2769	116	11	0.255	0.77	7	0	0.2757	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	2f04c988-b2ac-48cf-9b2a-58c7d423b3ee	Cell		Positive	Root object (Image)	Polygon	284.55	440.99	45.4806	37.5252	0.4059	17.6735	3.3772	NaN	3.9639	329	7.6548	45	0	45	134.5181	11165	37.3528	219	73	146	4.4819	372	8.4657	45	0	45	139.8528	58.8782	0.507	26.5876	6.5193	NaN	2.1089	4.8475	45	0	82.6694	45.4782	219	26	1.7339	5.3115	45	0	1.1758	1.8641	9	0	56.5879	19.2993	105	26	0.3515	0.9551	7	0	0.3182	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	b6928b0d-0af4-4a3f-9e41-36a22c65d2fe	Cell		Positive	Root object (Image)	Polygon	417.29	485.18	103.4684	63.6548	0.3209	27.7683	6.2798	NaN	1.5538	289	2.2324	13	0	13	148.6989	27658	31.6193	202	58	144	1.6882	314	2.5805	18	0	18	285.3908	88.9364	0.4534	41.4644	9.2642	NaN	1.464	2.2625	13	0	93.15	52.1703	202	9	0.822	1.842	18	0	1.4108	2.282	10	0	60.2452	28.7813	136	9	0.3089	0.8739	7	0	0.3652	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	1c8f8833-3c77-4bfe-803e-872de3949ec5	Cell		Positive	Root object (Image)	Polygon	271.16	491.99	28.4254	29.9913	0.3971	14.5693	2.6015	NaN	4.1852	226	6.5849	27	0	27	84.9259	4586	31.4516	150	39	111	4.1481	224	6.5859	26	0	26	125.6402	59.93	0.4396	28.1916	5.484	NaN	1.3571	3.7389	27	0	36.2009	32.3335	150	4	1.1339	3.6666	26	0	0.4588	1.2168	9	0	20.7235	8.3496	45	4	0.1765	0.5585	5	0	0.2273	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	3c0a9421-d146-4c57-b47d-d17b8bf6438b	Cell		Positive	Root object (Image)	Polygon	276.06	550.04	82.4336	55.1409	0.3407	25.7414	4.1748	NaN	1.2027	178	1.9517	10	0	10	98.5	14578	24.6028	144	52	92	1.4324	212	2.1258	10	0	10	241.6157	85.4891	0.4154	39.8505	7.5655	NaN	0.9297	2.0291	18	0	56.5761	37.2872	144	4	0.8712	2.0291	18	0	0.7849	2.0577	18	0	34.3369	19.4519	101	4	0.5735	1.9138	18	0	0.3406	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	a4b2f1d5-943f-4527-9365-cc54394b1510	Cell		Positive	Root object (Image)	Polygon	238.69	722.14	102.3314	63.7634	0.3163	22.3914	7.3734	NaN	2.1283	398	3.3911	15	0	15	91.3797	17088	19.2043	135	57	78	2.4278	454	3.4312	15	0	15	322.3438	91.1626	0.4874	36.5736	11.8217	NaN	1.1305	2.3525	15	0	59.2011	28.7551	135	5	1.1023	2.383	15	0	0.6395	1.3741	13	0	43.3658	17.0738	91	5	0.45	1.1871	12	0	0.3196	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	1d587b56-22b8-4dad-b520-1541d8b1c442	Cell		Positive	Root object (Image)	Polygon	672.53	799.28	96.6463	66.2834	0.2764	30.6387	4.9116	NaN	2.6059	443	4.3735	20	0	20	179.6529	30541	17.9708	215	132	83	3.6706	624	5.85	23	0	23	251.8488	94.014	0.3581	44.744	7.5106	NaN	1.3087	3.0117	20	0	142.7919	35.856	215	52	1.7226	4.0072	23	0	0.5126	1.128	8	0	120.1697	23.0059	171	52	0.5271	1.1051	8	0	0.373	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	1d1a4eb9-f715-4914-b5f6-eefab84b828f	Cell		Positive	Root object (Image)	Polygon	665.1	806.85	90.3927	56.5315	0.3554	26.8291	4.684	NaN	1.6584	267	2.9178	17	0	17	157.2236	25313	24.4269	193	103	90	2.1988	354	3.3426	19	0	19	245.5952	85.1413	0.4257	40.0898	7.8613	NaN	1.1121	2.1996	17	0	109.8169	46.5674	193	19	1.0892	2.3915	19	0	0.7935	1.5623	8	0	82.163	31.744	146	19	0.442	1.194	8	0	0.3713	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	ded98b25-060f-4ffb-b5b0-23d41bd2985f	Cell		Positive	Root object (Image)	Polygon	696.45	851.43	85.8446	52.6753	0.3888	22.7927	6.1942	NaN	1.3333	208	1.8677	10	0	10	106.391	16597	24.8932	171	52	119	1.3718	214	1.8359	11	0	11	267.767	81.9669	0.5008	36.6433	9.7025	NaN	1.1886	1.8999	10	0	70.5191	32.6125	171	16	0.6992	1.4241	11	0	1.1171	1.9146	9	0	52.8101	18.2622	89	16	0.3671	1.0195	8	0	0.3206	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	72d479ce-2dc1-4fbd-9053-be39c347726e	Cell		Positive	Root object (Image)	Polygon	773.16	1132.4	35.2475	35.3074	0.3553	16.8324	2.9821	NaN	2.1791	146	2.5041	10	0	10	120.7612	8091	26.0449	169	74	95	1.0896	73	1.7297	9	0	9	126.7772	66.5993	0.3592	31.4912	4.9887	NaN	3.9507	4.4349	21	0	80.5785	33.1074	169	33	0.6323	1.398	9	0	4.7115	4.854	21	0	63.3205	16.8331	113	33	0.4359	1.1815	9	0	0.2883	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	26d434ba-f77c-470a-b668-ee29a5b42271	Cell		Positive	Root object (Image)	Polygon	766.57	1140.8	88.1187	44.3098	0.564	18.9316	7.071	NaN	0.956	152	1.4598	6	0	6	123.5031	19637	14.4738	154	83	71	1.2075	192	1.6307	8	0	8	234.2251	72.769	0.5558	31.8721	9.558	NaN	0.812	1.4524	8	0	92.3614	29.2874	154	30	0.6916	1.2989	8	0	0.7227	1.4435	8	0	73.0195	16.8079	123	30	0.3711	0.9069	5	0	0.3853	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71_13_FITC.tif	94c727e7-b697-4804-8efc-5c82d4669f10	Cell		Positive	Root object (Image)	Polygon	778.35	1202.5	44.3436	42.5625	0.3076	19.9173	3.5868	NaN	3.8395	311	4.2263	17	0	17	131.716	10669	20.8088	165	95	70	0.9877	80	1.6317	8	0	8	154.0655	68.531	0.4122	31.5382	6.7778	NaN	4.5	4.7069	20	0	100.8713	26.9696	165	47	0.5	1.1201	8	0	4.7801	4.88	20	0	87.7906	16.6591	144	47	0.2932	0.724	5	0	0.2929	NaN	NaN	NaN	NaN	NaN	NaN	NaN
