Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
89_4_FITC.tif	3879486b-0347-4259-8872-72265d1d81a3	Cell		Positive	Annotation	Polygon	455.79	798.16	7.2481	11.8717	0.6463	5.3298	1.6042	NaN	13.9167	501	11.1647	38	0	38	78.25	2817	22.6039	113	37	76	13.8611	499	11.1615	38	0	38	86.1483	46.9313	0.4915	22.0183	4.9701	NaN	1.2043	5.0852	38	0	11.9327	23.2217	113	0	1.1995	5.0726	38	0	0	0	0	0	5.65	9.2714	46	0	0	0	0	0	0.0721	5	167.9551	179.9525	242.0481	22.4686	5046.3369	12837.4385
89_4_FITC.tif	af4cd859-535b-4c56-8811-4973311f67df	Cell		Positive	Annotation	Polygon	433.57	801.31	8.9048	17.0305	0.3858	8.093	1.6296	NaN	0.5	23	0.9603	4	0	4	75.4348	3470	5.1539	86	62	24	0.4783	22	0.9601	4	0	4	98.1594	52.7383	0.4435	25.0607	5.1662	NaN	0.4706	1.2999	10	0	46.2962	19.7836	86	6	0.4664	1.2818	10	0	0.4674	1.3319	10	0	43.1791	18.1602	79	6	0.4651	1.3125	10	0	0.0893	5	154.6453	92.0324	414.6353	22.4686	1793.6235	4426.6167
89_4_FITC.tif	af748e69-747b-4453-a4ab-534238a26a3b	Cell		Positive	Annotation	Polygon	418.46	886.34	19.4662	27.5642	0.322	10.2297	3.4356	NaN	3.6122	354	5.2043	22	0	22	101.4796	9945	21.766	138	50	88	3.602	353	5.2184	22	0	22	93.1893	52.6139	0.423	24.801	5.5096	NaN	0.9249	2.884	22	0	45.7373	38.6831	138	1	0.9249	2.8855	22	0	0.1831	0.8045	7	0	30.3493	26.1375	111	1	0.1859	0.7985	7	0	0.2005	5	176.003	87.7165	448.762	5.8752	4635.8271	17909.2129
89_4_FITC.tif	9448bfef-c03d-421a-9350-bcc9493c251a	Cell		Positive	Annotation	Polygon	422.99	893.69	26.3001	36.1315	0.2532	17.5629	2.1113	NaN	3	387	3.7853	16	0	16	90.4574	11669	13.7892	113	56	57	2.969	383	3.7603	16	0	16	112.8626	70.6489	0.2842	34.0009	4.6668	NaN	0.7409	2.2533	16	0	34.9325	36.1354	113	0	0.7336	2.2361	16	0	0.0453	0.4433	6	0	17.8377	20.1527	94	0	0.0453	0.4433	6	0	0.2266	4	41.7342	35.8484	92.0324	3.2074	274.6921	831.1866
89_4_FITC.tif	17231cd2-eca7-48e2-b07a-4e1c42467158	Cell		Positive	Annotation	Polygon	420.02	898.75	7.8693	13.3906	0.5515	6.0166	1.8614	NaN	2.881	121	3.59	12	0	12	101.381	4258	10.9588	115	77	38	2.8571	120	3.606	12	0	12	29.6135	29.3229	0.4328	14.0295	2.8672	NaN	0.8958	2.3317	12	0	62.6319	30.9648	115	16	0.875	2.3291	12	0	0.0784	0.3901	3	0	46.6765	20.6715	107	16	0.0588	0.3091	2	0	0.2566	4	129.0836	35.5847	441.9579	3.2074	1664.902	5915.8765
89_4_FITC.tif	f7dd59c1-a304-4ddc-82fb-1cf4add82c73	Cell		Positive	Annotation	Polygon	432.95	957.71	16.3599	21.385	0.4495	9.556	2.3967	NaN	5.0471	429	5.0941	22	0	22	84.2706	7163	21.37	116	38	78	5	425	5.12	22	0	22	119.0752	55.5892	0.4842	26.0356	5.8994	NaN	0.8128	2.6873	22	0	22.3085	30.1766	116	0	0.8024	2.6847	22	0	0.0813	0.6265	9	0	11.6037	14.5145	74	0	0.0772	0.6271	9	0	0.1407	9	280.6002	161.2171	1041.5834	63.7562	21564.7539	86260.625
89_4_FITC.tif	ebdf4449-bb04-4532-be83-4f2dd9bc7a12	Cell		Positive	Annotation	Polygon	268.47	1177.6	3.3134	11.0761	0.3394	5.3281	0.8499	NaN	3.4444	62	4.2318	13	0	13	94.0556	1693	13.2019	117	73	44	3.3889	61	4.1322	12	0	12	40.5891	31.9131	0.5008	14.9866	3.7836	NaN	1.8838	4.1704	24	0	57.6162	40.5563	124	1	1.8788	4.133	24	0	1.7278	4.1438	24	0	53.9722	40.5806	124	1	1.7278	4.1141	24	0	0.0715	5	182.7618	151.1044	414.6353	8.634	5643.9878	17909.2129
89_4_FITC.tif	7bda2926-34fa-4090-bf58-e987ef17c195	Cell		Positive	Annotation	Polygon	268.3	1193.2	18.0166	22.706	0.4391	9.8768	2.6999	NaN	2.7634	257	3.7341	13	0	13	82.6344	7685	21.2392	111	22	89	2.7312	254	3.6924	13	0	13	85.32	56.9019	0.3311	24.1639	5.5874	NaN	0.7506	2.2596	13	0	30.4317	36.2036	111	0	0.7386	2.2256	13	0	0.1728	1.0503	10	0	15.4475	23.4465	95	0	0.1667	1.0123	10	0	0.219	5	91.2464	143.0721	155.0961	1.7447	241.3987	537.1213
89_4_FITC.tif	7258c53c-3b2a-4b8b-84b7-76ad0db85f34	Cell		Positive	Annotation	Polygon	265.23	1190.4	2.8992	9.4898	0.4046	4.5566	0.7939	NaN	3.8125	61	3.781	10	0	10	63.3125	1013	15.8271	81	29	52	3.6875	59	3.8248	10	0	10	31.0631	35.923	0.3025	17.6485	2.485	NaN	0.4474	1.6906	10	0	15.1447	23.4109	81	0	0.4342	1.6744	10	0	0.0515	0.3293	3	0	9.4779	16.6693	68	0	0.0515	0.3293	3	0	0.0812	6	354.8744	288.8094	773.7687	1.7447	3829.168	12594.8994
89_4_FITC.tif	96465795-0214-416e-9d7a-12418fada883	Cell		Positive	Annotation	Polygon	316.82	1323.1	12.0111	21.2523	0.3342	10.2166	1.6614	NaN	6.7258	417	6.3328	24	0	24	70.1452	4349	24.1219	111	14	97	6.7419	418	6.3503	24	0	24	85.9413	56.4865	0.3385	27.0888	5.3128	NaN	1.012	3.4126	24	0	15.7933	27.0461	111	0	1.0168	3.4224	24	0	0.0113	0.1501	2	0	6.274	12.2348	68	0	0.0141	0.1914	3	0	0.1411	8	285.3197	268.0654	693.1446	5.468	10764.3477	69272.2031
89_4_FITC.tif	3f2ae827-41eb-40da-b78f-790a9cb97fe2	Cell		Positive	Annotation	Polygon	315.5	1331	5.5914	14.0967	0.3536	6.8538	1.276	NaN	2.2812	73	3.8957	13	0	13	56.0312	1793	9.5258	75	40	35	2.1875	70	3.7282	12	0	12	20.7087	33.322	0.2344	16.3931	1.8503	NaN	0.7333	2.3829	13	0	30.3143	21.8449	75	0	0.7048	2.2826	12	0	0.0548	0.3686	3	0	19.0411	15.0807	56	0	0.0548	0.3686	3	0	0.2578	3	53.9025	8.5545	147.685	5.468	179.0404	323.2828
89_4_FITC.tif	4707143c-deb0-4c5b-bb91-cb649b638998	Cell		Positive	Annotation	Polygon	312.97	1340.7	30.4418	36.37	0.2892	17.5538	2.9777	NaN	3.0473	451	3.8972	17	0	17	77.723	11503	22.6099	112	22	90	3.0135	446	3.8686	17	0	17	133.5714	69.6418	0.3461	33.7828	6.1003	NaN	0.7003	2.2624	17	0	23.1537	33.6702	112	0	0.6925	2.2431	17	0	0	0	0	0	6.871	12.8387	65	0	0	0	0	0	0.2233	8	321.2882	220.2693	958.1442	8.5545	12610.3574	56678.5977
89_4_FITC.tif	bf24fbfe-51f1-4f7c-a306-bb96981186be	Cell		Positive	Annotation	Polygon	230.55	1611.5	21.9513	29.7875	0.3109	12.705	2.7993	NaN	1.8318	196	3.2866	19	0	19	57.5327	6156	14.6837	82	20	62	1.785	191	3.2068	19	0	19	139.5769	61.5338	0.4632	29.016	6.2126	NaN	0.3985	1.6122	19	0	16.0815	23.0753	82	0	0.3911	1.5782	19	0	0.1285	0.7807	9	0	8.2729	14.3985	69	0	0.1285	0.7762	9	0	0.1637	5	224.1298	285.2415	422.3217	29.906	4336.7705	12594.8994
89_4_FITC.tif	d1960c5d-4389-4603-aea3-588e3c37aeac	Cell		Positive	Annotation	Polygon	233.15	1639.1	16.567	28.0372	0.2648	13.3191	2.1872	NaN	3.4302	295	4.1883	17	0	17	86.8721	7471	25.5218	126	36	90	3.4302	295	4.1261	16	0	16	87.805	53.5581	0.3847	25.5888	5.0196	NaN	0.7026	2.3262	17	0	26.4941	36.6606	126	0	0.7026	2.3039	16	0	0.0147	0.195	3	0	11.2669	19.1432	121	0	0.0147	0.195	3	0	0.1882	4	257.4387	171.6345	678.3694	8.1163	14857.5215	56678.5977
89_4_FITC.tif	5a007ce4-15bc-4dcf-a9c9-692c58a9dc62	Cell		Positive	Annotation	Polygon	231.14	1651.9	16.9812	23.931	0.3726	11.1121	2.0493	NaN	3.3882	288	4.155	19	0	19	86.0706	7316	27.8464	131	29	102	3.3647	286	4.0995	19	0	19	87.598	55.3786	0.3589	26.1	5.2269	NaN	0.7012	2.299	19	0	22.8188	36.7039	131	0	0.6965	2.2736	19	0	0.0294	0.2644	4	0	7.0059	15.4561	99	0	0.0294	0.2644	4	0	0.1899	5	306.5917	308.237	671.0798	8.1163	14430.168	57412.332
89_4_FITC.tif	2d11cc05-ae71-4546-8127-e017a72f848b	Cell		Positive	Annotation	Polygon	588.86	917.28	11.5969	19.6997	0.3755	9.2977	1.6803	NaN	5.3833	323	6.6437	23	0	23	82.2667	4936	20.9405	117	34	83	5.2833	317	6.5745	23	0	23	78.279	53.1076	0.3488	25.5319	4.563	NaN	0.8868	3.2835	23	0	25.7342	29.9162	117	0	0.8711	3.24	23	0	0.0437	0.3602	5	0	15.1344	16.3825	80	0	0.0437	0.3602	5	0	0.1469	5	59.1763	27.9228	179.9525	5.8596	1031.5873	4990.5254
89_4_FITC.tif	7e33461f-9478-4507-9122-57844afeb9e1	Cell		Positive	Annotation	Polygon	591.23	925.48	9.526	19.8176	0.3048	9.6917	1.4069	NaN	4	208	4.7362	15	0	15	86.6538	4506	14.552	112	55	57	4.0769	212	4.8541	16	0	16	42.66	49.5099	0.2187	24.0913	2.624	NaN	1.0802	2.9286	15	0	42.5189	30.1664	112	0	1.0943	2.9946	16	0	0.1312	0.7015	6	0	28.175	17.1935	73	0	0.125	0.6982	6	0	0.2189	3	10.4852	5.8596	22.2743	3.3215	12.995	19.4284
