Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
78_5_FITC.tif	30d962a7-9978-4994-8bcc-2000f0c49b51	Cell		Positive	Annotation	Polygon	512.98	629.85	4.9701	13.0643	0.3659	5.4734	1.2313	NaN	16.1379	468	19.8525	62	0	62	76.1379	2208	28.2258	126	36	90	16.069	466	19.8295	62	0	62	83.6633	47.2886	0.4701	22.033	4.763	NaN	2.4963	6.8222	62	0	15.0741	20.2016	126	1	1.4963	6.6807	62	0	1.4441	2.2832	13	0	10.3644	8.3412	50	1	0.3723	1.017	5	0	0.0648	4	165.1678	130.4686	391.4655	8.2686	4586.4214	9307.751
78_5_FITC.tif	a0c7bc04-27e3-4062-a2b6-d0e15d67e81e	Cell		Positive	Annotation	Polygon	521.26	630.66	5.3843	10.5672	0.6059	4.7266	1.4714	NaN	13.4483	390	14.0117	44	0	44	68.7586	1994	22.8014	111	37	74	13.2069	383	13.9857	44	0	44	82.0066	45.086	0.507	21.0122	4.9663	NaN	2.2374	5.2114	44	0	14.5505	17.7902	111	1	1.1086	5.0772	44	0	1.3515	1.883	9	0	10.267	7.1107	46	1	0.1526	0.5855	5	0	0.0602	3	12.1071	12.0713	15.9815	8.2686	38.1225	41.0834
78_5_FITC.tif	70124981-b3e9-4566-b251-a3c5690c552c	Cell		Positive	Annotation	Polygon	531.94	632.72	4.1417	10.4159	0.4797	4.6977	1.3768	NaN	6.68	167	7.4146	28	0	28	73.92	1848	16.5124	102	42	60	6.72	168	7.4247	28	0	28	48.8726	37.999	0.4253	17.6854	3.9915	NaN	2.584	4.3155	28	0	25.3445	23.481	102	0	1.1891	3.5806	28	0	2.1033	3.5193	21	0	19.6432	16.571	97	0	0.5399	2.0152	17	0	0.0872	3	7.2128	6.4682	12.0713	3.0988	19.4417	35.1617
78_5_FITC.tif	62c7f1d1-798b-4afd-be2c-b9da4fcd4c76	Cell		Positive	Annotation	Polygon	534.57	638.98	4.1417	11.4419	0.3976	5.5781	0.9514	NaN	6.7619	142	5.2431	16	0	16	71.7619	1507	15.8648	92	37	55	7.2857	153	5.578	18	0	18	30.4418	36.0991	0.2936	17.7668	2.5893	NaN	2.0738	3.5127	16	0	20.5034	22.5959	92	1	1.1141	3.2643	18	0	1.3047	2.4124	10	0	12.0938	7.0448	40	1	0.1016	0.4318	3	0	0.1091	4	653.1183	607.9496	1393.4753	3.0988	27413.0898	81486.2422
78_5_FITC.tif	ef7beeaa-c3f5-4752-8960-dd29447f6898	Cell		Positive	Annotation	Polygon	532.4	645.97	3.3134	8.7585	0.5428	4.0031	1.0035	NaN	7.6667	138	8.5818	29	0	29	70.8889	1276	17.6498	100	45	55	7.6667	138	8.5818	29	0	29	33.5482	27.156	0.5717	12.2472	3.4703	NaN	2.9085	4.1562	29	0	28.1707	19.4938	100	6	1.0915	3.8924	29	0	2.3219	2.7616	17	0	22.9041	11.6704	93	6	0.2808	1.5391	17	0	0.0865	6	274.1913	19.5099	1208.5665	3.7709	18570.582	106183.7812
78_5_FITC.tif	d3f3041d-7985-432d-b158-6fecb205e334	Cell		Positive	Annotation	Polygon	389.55	832.99	3.5205	9.3363	0.5075	3.7177	1.1607	NaN	3.3684	64	2.8521	10	0	10	64.1053	1218	6.2441	77	54	23	2.5263	48	2.9696	10	0	10	72.6877	42.9522	0.4951	20.0278	4.5556	NaN	1.8409	3.0917	15	0	32.6108	20.0698	79	0	0.9659	2.258	15	0	1.7538	3.086	15	0	30.8138	19.0717	79	0	0.8769	2.1829	15	0	0.0411	3	182.4363	165.3532	237.8989	144.0569	4793.3442	9307.751
78_5_FITC.tif	878b67f9-9663-4c63-9d0f-e847b3a8d6b4	Cell		Positive	Annotation	Polygon	378.62	976.83	6.0055	13.5102	0.4135	6.3489	1.4142	NaN	2.1176	72	2.8152	11	0	11	77.6765	2641	8.8719	94	60	34	2.2059	75	3.1118	11	0	11	85.9413	48.6316	0.4566	23.0325	4.763	NaN	1.5601	2.7068	17	0	40.6587	17.9347	94	12	0.6755	1.8571	14	0	1.5105	2.6951	17	0	37.3639	14.5041	82	12	0.5393	1.6401	14	0	0.0717	3	429.0666	144.0569	1121.542	21.6009	1162.4918	2046.0458
78_5_FITC.tif	c241eb74-4cc9-451e-9c6c-e53ef8f1d963	Cell		Positive	Annotation	Polygon	380.86	998.16	11.5969	20.3728	0.3511	7.3667	2.332	NaN	3.3667	202	3.6405	15	0	15	69.8167	4189	12.2923	91	40	51	3.1167	187	3.3298	12	0	12	113.2768	52.1832	0.5227	24.0465	6.0021	NaN	1.4836	2.7653	16	0	37.6825	15.795	91	5	0.6095	1.677	12	0	1.252	2.5481	16	0	33.7316	10.911	72	5	0.3012	0.9726	11	0	0.1032	6	491.1828	389.3939	1100.2576	21.6009	47156.6172	160712.75
78_5_FITC.tif	b7c3833a-f990-4976-a670-8009e680f10f	Cell		Positive	Annotation	Polygon	615.01	1847.7	7.041	17.9218	0.2755	8.7377	1.2695	NaN	12.5526	477	14.6614	43	0	43	79.8947	3036	27.4746	127	33	94	12.3158	468	14.7229	43	0	43	92.1539	52.5402	0.4195	25.0051	4.7468	NaN	1.9305	5.6287	43	0	25.3341	20.7311	127	3	1.1883	5.467	43	0	0.9412	1.8931	12	0	20.2525	9.872	59	3	0.152	0.5793	5	0	0.0774	5	783.8953	881.0973	1212.1283	220.5633	78575.5625	160712.75
78_5_FITC.tif	a9020b16-1424-46ef-beb4-e40f90670d73	Cell		Positive	Annotation	Polygon	760.84	2013	7.041	13.5	0.4855	6.0297	1.2425	NaN	13.4722	485	9.1947	30	0	30	56.6944	2041	8.9405	77	40	37	13.3889	482	9.2096	30	0	30	85.7342	47.6797	0.4739	22.0441	4.5559	NaN	2.149	4.671	30	0	8.0072	15.4415	77	0	1.4567	4.6541	30	0	1.0763	1.6587	7	0	3.3947	2.6862	19	0	0.3263	1.0395	7	0	0.0685	3	692.4549	463.3259	1393.4753	220.5633	62615.9883	81486.2422
78_5_FITC.tif	1099a14f-88ad-426e-80bb-05892670ef2a	Cell		Positive	Annotation	Polygon	304.99	2096	6.0055	12.5749	0.4773	5.8915	1.2001	NaN	20.4333	613	18.68	62	0	62	98.0667	2942	26.8815	147	56	91	20.3333	610	18.8045	62	0	62	80.1428	46.9097	0.4577	22.0233	4.5559	NaN	3.3136	7.6001	62	0	21.7892	25.7513	147	2	1.7969	7.4721	62	0	1.883	2.7792	12	0	15.415	11.4829	63	2	0.2479	0.817	5	0	0.0648	4	770.5616	781.7917	1121.542	397.1208	68834.8438	160712.75
