Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
78_3_FITC.tif	3ac8ce03-3753-42d2-9b49-dd2986127402	Cell		Positive	Annotation	Polygon	379.25	608.13	4.3488	12.9949	0.3236	6.358	0.8771	NaN	15.7083	377	14.017	44	0	44	68.8333	1652	21.7928	105	31	74	15.4583	371	14.0155	43	0	43	76.8294	48.067	0.4179	23.0029	4.3488	NaN	1.7957	5.3221	44	0	12.4113	17.5475	105	0	1.2177	5.1723	43	0	0.8362	1.7176	11	0	8.5201	7.8972	43	0	0.2356	0.768	5	0	0.0522	6	155.4894	126.8492	284.3474	82.9279	1492.969	4115.8276
78_3_FITC.tif	20ae21de-4755-49da-8e57-1397d2972709	Cell		Positive	Annotation	Polygon	406.24	695.82	32.9269	47.7326	0.1816	22.9519	2.2004	NaN	22.4286	3611	25.0656	97	0	97	182.6211	29402	43.2959	243	63	180	22.8075	3672	25.145	97	0	97	130.6721	82.2917	0.2425	40.0056	4.5126	NaN	5.9304	15.9094	97	0	64.3386	78.4054	243	1	5.875	16.0825	97	0	0.2909	0.9029	5	0	23.9066	34.4134	185	1	0.087	0.4736	6	0	0.2519	5	7.6546	8.0359	12.5493	3.4505	25.3963	50.0507
78_3_FITC.tif	4ce75e0b-3f1a-4ceb-8934-3cffe3eef221	Cell		Positive	Annotation	Polygon	404.06	683.4	1.0354	3.8289	0.8876	1.6777	0.502	NaN	0.4	2	0.5477	1	0	1	71.6	358	8.0808	83	62	21	0.4	2	0.5477	1	0	1	14.7032	22.1876	0.3753	10.713	1.8686	NaN	0.2568	0.7949	5	0	40.4595	20.4063	91	11	0.3108	0.8264	5	0	0.2464	0.8118	5	0	38.2029	19.15	91	11	0.3043	0.8455	5	0	0.0388	4	26.9495	9.905	82.9279	5.06	114.0232	331.4243
78_3_FITC.tif	69cfc304-32e7-4021-b488-76adaf0f2fc8	Cell		Positive	Annotation	Polygon	402.99	691.78	3.9347	12.4838	0.3173	6.1103	0.8614	NaN	0.3333	7	0.9129	4	0	4	72.8571	1530	13.6758	94	52	42	0.5238	11	1.0779	4	0	4	28.1639	30.7796	0.3736	14.7667	2.6975	NaN	0.9137	1.6307	7	0	35.8058	25.6616	106	9	0.518	1.1878	5	0	1.0169	1.7096	7	0	29.2119	21.3188	106	9	0.5169	1.2106	5	0	0.134	5	36.4902	7.7953	87.6002	3.4505	337.7379	1528.2992
78_3_FITC.tif	ceaca9c4-1ed8-43ef-b851-a0645d0506db	Cell		Positive	Annotation	Polygon	414.41	688.52	1.6567	7.4497	0.3751	3.5826	0.7578	NaN	0.0909	1	0.3015	1	0	1	85.8182	944	13.8334	111	69	42	0.0909	1	0.3015	1	0	1	25.4717	26.7148	0.4485	12.3844	2.9622	NaN	0.119	0.4666	3	0	36.0794	25.0882	121	10	0.127	0.5213	3	0	0.1217	0.4803	3	0	31.3217	20.2933	121	10	0.1304	0.5384	3	0	0.0558	6	54.2836	11.6209	193.2135	8.2585	362.1943	1406.5139
78_3_FITC.tif	7dd10240-a33b-4458-837e-a88769027a38	Cell		Positive	Annotation	Polygon	415.56	702.57	36.6545	41.8449	0.2631	18.4587	3.5586	NaN	14.7486	2640	17.3852	59	0	59	172.4078	30861	48.9536	246	63	183	16.324	2922	18.1444	63	0	63	141.4407	93.8829	0.2017	33.2647	7.0371	NaN	4.1401	10.9298	59	0	62.1255	73.945	246	0	4.4073	11.6843	63	0	0.3874	1.1258	7	0	23.1126	26.9318	179	0	0.1917	0.8541	9	0	0.2587	5	203.2678	185.7841	439.0419	3.5343	5603.5474	18764.0312
78_3_FITC.tif	7e3f1260-6a2c-4ca0-be5a-2227c94043fa	Cell		Positive	Annotation	Polygon	403.36	702.29	1.6567	7.1086	0.412	3.3941	0.5946	NaN	0.1	1	0.3162	1	0	1	89.6	896	17.9456	123	66	57	0.1	1	0.3162	1	0	1	17.3953	23.4232	0.3984	11.1562	2.3925	NaN	0.908	1.604	7	0	41.1264	29.7645	123	9	0.1379	0.5535	3	0	1.013	1.6741	7	0	34.8312	24.7999	122	9	0.1429	0.5784	3	0	0.0755	4	23.7052	9.3515	70.9474	5.1704	119.4045	377.479
78_3_FITC.tif	8971dfc9-9240-406e-9339-a715d1ffd76f	Cell		Positive	Annotation	Polygon	413.58	707.42	1.2425	5.8967	0.449	2.8483	0.5501	NaN	0.5714	4	0.7868	2	0	2	98	686	14.2361	117	77	40	0.5714	4	0.7868	2	0	2	8.6977	18.1202	0.3329	8.792	1.2167	NaN	0.2955	0.9784	6	0	48.5	35.7169	132	8	0.8864	1.6313	6	0	0.2432	1.0112	6	0	39.1351	30.3875	132	8	0.9459	1.7472	6	0	0.1051	6	80.7149	12.0085	376.4592	3.5343	860.6384	4443.4038
78_3_FITC.tif	fd924ba2-2832-4eb6-b8ed-e33dd98317d9	Cell		Positive	Annotation	Polygon	390.18	769.62	4.3488	10.1281	0.5328	4.6551	1.4021	NaN	20.2917	487	21.2449	71	0	71	76.9167	1846	28.6583	132	36	96	19.6667	472	21.7549	71	0	71	78.9003	44.8157	0.4937	21.0125	4.9322	NaN	2.2565	7.196	71	0	18.4162	17.73	132	3	1.4424	7.1681	71	0	1.0475	1.6888	7	0	14.4944	6.0893	51	3	0.2207	0.721	5	0	0.056	7	130.3612	78.5451	312.1218	69.3713	2979.9109	8475.8301
78_3_FITC.tif	8f959596-7148-49f4-8cc4-fa13556faeac	Cell		Positive	Annotation	Polygon	343.38	829.65	25.6788	31.0874	0.3339	14.8491	2.6756	NaN	9.4077	1223	9.0311	43	0	43	139.1923	18095	37.8617	198	35	163	10.4462	1358	9.1762	43	0	43	148.0675	65.1377	0.4385	31.011	6.5855	NaN	3.2821	5.3906	43	0	45.1089	50.1356	198	2	2.0112	5.5922	43	0	1.9232	2.7098	14	0	24.2372	18.7786	110	2	0.1399	0.5796	4	0	0.1715	6	138.378	117.5122	224.3629	76.2132	1392.5284	4115.8276
