Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
88_2_FITC.tif	0582f4e7-90e8-48c1-b13e-41522259ef59	Cell		Positive	Annotation	Polygon	259.52	394.89	6.8339	19.4896	0.2261	9.4862	1.2406	NaN	42.1795	1645	19.0026	77	0	77	68.8718	2686	13.4422	94	43	51	6.1538	240	6.3517	23	0	23	64.8184	44.0525	0.4197	20.9737	4.5293	NaN	15.6309	17.61	77	0	29.0883	21.5103	94	0	1.2271	3.3279	23	0	11.9065	13.8232	55	0	23.5072	15.7782	70	0	0.536	1.7896	15	0	0.1194	9	197.0381	153.2625	623.1666	9.5779	5926.3872	45744.3906
88_2_FITC.tif	2ef40259-f313-4d13-9e61-6128eeb62cfa	Cell		Positive	Annotation	Polygon	260.52	408.19	8.2835	21.0882	0.2341	10.3224	1.3052	NaN	38.5652	1774	11.7391	58	16	42	63.4348	2918	10.3444	85	42	43	3.4348	158	4.0423	16	0	16	52.8073	41.0348	0.3941	19.7021	4.7484	NaN	14.2201	15.7587	58	0	29.1429	20.3218	85	3	0.7761	2.3502	16	0	8.9624	10.7978	57	0	21.7371	13.0234	78	3	0.2019	1.1783	12	0	0.1595	4	93.8281	81.2666	203.2014	9.5779	1494.9762	5337.7896
88_2_FITC.tif	e1cf97d3-2b28-406f-a160-d6963ce7ace6	Cell		Positive	Annotation	Polygon	261.84	424.77	15.9457	35.9182	0.1553	17.6047	1.1545	NaN	57.6296	4668	13.6532	97	31	66	80.2346	6499	14.4838	112	52	60	6.963	564	8.0831	30	0	30	89.2547	56.5273	0.351	27.2735	4.6998	NaN	23.0368	21.7619	97	0	35.4046	26.4121	112	1	1.508	4.4236	30	0	15.1215	14.2332	61	0	25.1469	15.6031	82	1	0.2599	0.9281	8	0	0.1767	5	84.5126	27.2051	185.8333	16.6571	180.0364	370.3773
88_2_FITC.tif	e59d1160-c951-42ed-9a59-2c5fa56f2db2	Cell		Positive	Annotation	Polygon	263.3	441.54	12.0111	31.8303	0.149	15.371	1.2955	NaN	71.9846	4679	17.4055	106	31	75	86.3538	5613	16.1404	120	49	71	6.7692	440	7.0329	27	0	27	61.9191	46.8213	0.3549	22.2704	4.5753	NaN	30.4125	28.0456	106	0	42.2871	29.3194	120	3	1.6337	4.2924	27	0	19.0588	17.8052	84	0	30.2521	18.6281	85	3	0.2311	0.9553	8	0	0.196	5	123.7629	43.8619	388.5435	10.9298	324.0956	986.0336
88_2_FITC.tif	a5df3443-5197-449d-ba97-c34e126c2a35	Cell		Positive	Annotation	Polygon	264.44	454.99	7.8693	17.9445	0.3071	8.7057	1.404	NaN	60.5122	2481	20.8772	90	17	73	68.9024	2825	16.8757	98	34	64	4.6341	190	5.4943	20	0	20	67.3034	48.1514	0.3648	22.7942	4.9161	NaN	17.4908	21.3335	90	0	28.408	20.0397	98	5	0.8374	2.6032	20	0	11.3018	12.4014	63	0	22.5825	12.1929	68	5	0.2912	1.0595	7	0	0.1107	7	233.766	220.0519	379.2448	10.9298	1767.6725	5741.7832
88_2_FITC.tif	17d5226a-14ee-492c-89cf-b02b6c569eb4	Cell		Positive	Annotation	Polygon	195.95	530.33	2.485	10.2082	0.2997	4.9932	0.7347	NaN	56.9286	797	5.9545	68	46	22	90.7143	1270	7.7303	101	79	22	2.2857	32	3.2446	9	0	9	19.052	27.9647	0.3061	13.5765	1.8624	NaN	32.4105	21.7008	78	0	50.9263	30.2047	101	7	0.9579	1.962	9	0	28.1728	20.596	78	0	44.0494	27.1541	98	7	0.7284	1.5653	8	0	0.1232	5	34.9256	6.8972	150.6431	3.373	56.9673	161.4396
88_2_FITC.tif	1bf6b470-6997-4d7c-b7b4-35e08ac0c0e8	Cell		Positive	Annotation	Polygon	197.92	537.02	7.8693	21.1672	0.2207	10.2902	1.1581	NaN	61.3864	2701	10.7988	81	41	40	80.7727	3554	8.688	100	62	38	1	44	1.8677	8	0	8	54.8782	52.6829	0.2485	25.8544	2.9792	NaN	27.7993	23.4189	81	0	40.2007	25.8958	100	1	0.5613	1.3798	8	0	21.2311	19.2059	77	0	32.2667	20.0314	79	1	0.4756	1.2502	7	0	0.1551	5	78.3178	86.0536	153.2625	3.373	1201.8082	5337.7896
88_2_FITC.tif	8c93afd8-4878-4882-ba80-eb216ab4bf7e	Cell		Positive	Annotation	Polygon	194.92	542.79	20.7087	25.0834	0.4136	10.7177	2.5612	NaN	64.0392	6532	7.99	78	35	43	84.5	8619	9.9302	107	57	50	0.9804	100	2.1107	11	0	11	70.2026	58.3936	0.2587	28.0449	3.702	NaN	37.6093	23.2753	78	0	55.1399	24.7058	107	8	0.4344	1.3532	11	0	26.4232	17.9607	77	0	42.7137	17.518	88	8	0.2033	0.7445	5	0	0.2776	5	20.2574	4.0186	84.4677	2.0447	66.6222	161.221
88_2_FITC.tif	c9b925aa-aa97-4a43-a763-e73f8a40992b	Cell		Positive	Annotation	Polygon	192.03	535.64	1.8638	6.7943	0.5074	3.2621	0.6502	NaN	54.4	544	9.0701	66	42	24	80	800	6.5659	90	69	21	1.8	18	2.3944	7	0	7	12.4252	24.7239	0.2554	12	1.3037	NaN	25.1111	22.0067	66	0	50.0159	21.3334	90	8	0.3175	1.1334	7	0	19.5849	19.1597	66	0	44.3585	18.1565	82	8	0.0377	0.1924	1	0	0.1158	6	32.0683	5.644	157.4528	1.0403	29.7539	107.9998
88_2_FITC.tif	9ab52ffc-e012-4867-9dd2-99b72807aac3	Cell		Positive	Annotation	Polygon	193	539.21	1.6567	8.3935	0.2955	4.025	0.6387	NaN	62	682	11.2161	77	48	29	81.2727	894	6.2784	93	68	25	1.3636	15	2.2482	7	0	7	4.3488	19.2635	0.1473	9.4805	0.7064	NaN	53.52	17.5716	78	29	69.72	15.5256	93	40	0.84	1.9296	7	0	46.8571	19.0943	78	29	60.6429	14.5951	91	40	0.4286	1.6036	6	0	0.3162	4	3.4502	2.9316	6.8972	1.0403	4.0373	6.8886
