Image	Name	Class	Parent	ROI	Centroid_X	Centroid_Y	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area	centroid_x_zeroscaled	centroid_y_zeroscaled	centroid_distances	fly_section_ID	fly_ID	section_ID
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	226.83	360.28	3.9214	7.9024	0.7891	2.6696	2.3015	0.3988	13.4167	161	1.7816	17	11	6	55.9167	671	5.2822	66	47	19	1.1667	14	2.1672	7	0	7	113.3295	37.8468	0.9942	12.4181	11.2718	0.2686	16.5103	6.4186	38	1	42.7207	9.6615	70	14	0.4448	1.5176	11	0	16.6439	6.5135	38	1	42.1511	9.4027	70	14	0.4137	1.4808	11	0	0.036	7	144.2316	142.5394	258.828	77.6985	8343.4492	22187.0	-156.81999999999996	-0.5600000000000023	156.82099986927767	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	101.19	371.76	9.8036	11.4354	0.9421	3.8386	3.3773	0.3198	9.8148	265	5.2553	23	1	22	61.7778	1668	9.8345	82	45	37	1.4444	39	3.017	10	0	10	139.6031	41.9991	0.9945	13.7957	13.0151	0.1335	10.3567	5.7614	26	0	33.3848	12.3369	82	8	0.3961	1.4292	12	0	10.4012	5.8061	26	0	31.0547	9.2333	77	8	0.31	1.1796	12	0	0.0626	6	96.9239	100.3082	183.1549	18.4376	967.5869	3321.2458	-282.46	10.920000000000016	282.6710066490725	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	592.0	371.26	7.0586	9.4207	0.9995	3.3092	2.8005	0.465	19.6	392	5.6606	31	10	21	65.25	1305	7.0701	76	49	27	0.6	12	1.1877	4	0	4	49.4101	25.8789	0.9271	8.6452	7.5276	0.4605	14.4062	7.1425	31	1	39.7422	17.1612	76	11	0.7188	1.3971	5	0	13.4444	6.9918	29	1	35.0185	14.0193	73	11	0.7407	1.4363	5	0	0.1274	7	72.3748	10.7431	182.3628	4.289	2621.2244	11890.46	208.35000000000002	10.420000000000016	208.61039978869704	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	598.64	377.4	19.215	20.7058	0.5632	7.4276	3.9787	0.8591	15.24	762	5.4905	29	7	22	63.4	3170	4.8319	75	48	27	0.74	37	1.6011	8	0	8	98.0359	47.3601	0.5492	17.6804	8.0188	0.9367	15.2411	6.9162	31	0	42.9209	16.4922	75	15	0.3834	1.0944	8	0	15.2414	7.2362	31	0	37.8768	14.2925	65	15	0.2956	0.9127	5	0	0.1837	5	9.526	5.9649	19.4631	4.7012	38.6587	112.5316	214.99	16.560000000000002	215.62683900665058	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	587.17	376.74	5.0979	9.3015	0.7404	3.5052	2.0754	0.7935	20.75	332	8.7445	32	7	25	66.1875	1059	5.8676	80	59	21	1.4375	23	2.804	10	0	10	54.1158	27.6978	0.8864	10.0309	7.7851	0.5334	17.5957	8.1416	36	0	49.5957	13.0772	80	20	0.3546	1.3263	10	0	17.192	8.0088	36	0	47.472	12.2003	69	20	0.216	0.9297	8	0	0.0864	5	76.5931	19.3589	182.6596	3.4274	3198.2363	13898.832	203.51999999999998	15.900000000000034	204.14014891735528	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	605.04	375.72	10.1957	12.5428	0.8144	4.8229	2.8274	0.8456	24.3214	681	6.7553	42	13	29	63.1786	1769	3.7816	71	54	17	0.3571	10	1.0959	4	0	4	67.4487	29.9797	0.943	10.2571	8.8109	0.3381	16.1029	8.1028	42	1	43.6629	18.0196	71	6	0.3714	0.9675	5	0	14.5374	7.3748	37	1	39.9456	17.2447	70	6	0.3741	0.9451	5	0	0.138	4	35.9017	9.4459	119.2207	5.4945	274.3461	626.6331	221.39	14.880000000000052	221.88949163941945	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	591.75	381.02	8.6272	13.5649	0.5892	5.3	2.7768	0.9	19.72	493	7.4303	33	9	24	66.68	1667	4.2984	73	58	15	1.24	31	2.1268	7	0	7	46.6651	27.3674	0.7829	10.4968	6.3801	0.8174	18.4098	5.5667	33	7	54.6721	7.5454	73	43	0.3852	1.1459	7	0	18.0722	4.9692	33	7	51.5773	4.4624	64	43	0.1649	0.5339	3	0	0.179	4	7.617	4.6323	17.7761	3.4274	21.5417	40.5255	208.10000000000002	20.180000000000007	209.07616411250712	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	607.81	382.32	5.8822	8.4704	1.0	3.2364	2.0664	0.6959	17.375	278	4.0804	21	8	13	63.75	1020	2.3805	70	60	10	0.25	4	0.7746	3	0	3	54.5079	31.7384	0.68	12.7275	5.3176	0.9181	12.8276	6.2831	25	0	44.6897	15.0994	70	16	0.2276	0.8143	5	0	12.2636	6.2893	25	0	42.3256	14.3103	68	16	0.2248	0.822	5	0	0.0893	5	33.3147	12.0061	122.8566	3.6313	154.351	441.0832	224.15999999999997	21.480000000000018	225.18680245520602	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	610.55	387.75	5.8822	8.8411	0.9457	2.9902	2.6342	0.5372	24.4706	416	6.0531	32	12	20	67.3529	1145	5.4537	81	60	21	1.1765	20	2.8336	10	0	10	74.5073	33.6881	0.825	12.5992	8.1472	0.7698	17.7306	7.7996	35	3	50.6218	13.8243	81	12	0.3938	1.283	10	0	17.0795	7.652	35	3	49.0057	13.3093	72	12	0.3182	1.0034	5	0	0.0756	5	51.0524	19.1741	125.3361	3.6313	1321.8093	5785.8843	226.89999999999998	26.910000000000025	228.49017068574304	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	373.55	392.43	9.8036	11.9696	0.8599	4.2257	2.8099	0.7204	16.2857	456	5.6165	26	6	20	59.2143	1658	5.1089	67	46	21	0.1786	5	0.548	2	0	2	141.1716	42.3551	0.9889	14.2137	12.6023	0.364	15.3139	7.2993	35	0	43.4139	10.8262	71	16	0.275	1.0526	10	0	15.2319	7.4248	35	0	42.0813	10.1041	71	16	0.2831	1.0846	10	0	0.0661	5	143.68	158.9571	182.5192	57.0434	8387.3496	12127.6631	-10.099999999999966	31.590000000000032	33.165314712814066	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	592.43	394.62	4.3136	7.812	0.8882	2.9443	1.8453	0.8256	19.1538	249	3.3627	25	14	11	63.3846	824	4.6822	76	58	18	1.1538	15	2.6409	9	0	9	78.4287	32.4863	0.9339	11.6035	8.6816	0.6505	17.9951	7.0208	36	0	48.3744	11.7194	76	6	0.4138	1.3953	11	0	17.9158	7.2018	36	0	47.3474	11.3508	69	6	0.3632	1.264	11	0	0.0416	10	39.8432	19.2665	172.2056	5.2326	1010.4751	7816.1802	208.77999999999997	33.78000000000003	211.49509876117693	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	607.79	397.19	11.7643	16.1014	0.5702	6.3564	2.9832	0.8791	17.25	621	6.1615	29	4	25	67.2222	2420	7.5446	89	55	34	1.2778	46	2.7631	14	0	14	112.153	40.1388	0.8748	14.2819	10.3161	0.6007	15.1375	6.6717	29	0	48.9794	15.311	89	14	0.4742	1.4246	14	0	14.8392	6.6983	29	0	46.4039	14.3521	74	14	0.3608	1.0773	6	0	0.103	6	37.0475	13.4448	90.1716	7.2659	294.4854	773.8737	224.14	36.35000000000002	227.06840841473303	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	596.5	399.74	5.49	8.7712	0.8967	3.3989	2.1734	0.6681	21.625	346	6.632	40	15	25	62.5625	1001	5.2532	76	53	23	1.0625	17	2.4075	8	0	8	40.7829	29.2232	0.6001	11.7294	6.1632	0.8522	16.6729	8.118	40	0	42.243	17.4139	76	15	0.4673	1.4557	8	0	15.8022	8.0722	37	0	38.6703	16.317	70	15	0.3626	1.2066	7	0	0.1196	4	7.9177	7.4418	12.0663	4.721	22.0608	35.0613	212.85000000000002	38.900000000000034	216.37544338487214	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	594.64	407.72	15.6857	19.6653	0.5097	8.1006	2.8633	0.943	21.5435	991	7.4795	33	4	29	63.9565	2942	4.609	77	54	23	0.913	42	1.9417	9	0	9	107.4473	40.997	0.8033	16.9412	8.691	0.858	16.9022	7.2354	34	0	42.2572	15.4629	77	11	0.308	1.1706	9	0	15.9739	6.8323	34	0	37.9174	13.0175	66	11	0.187	0.9036	6	0	0.1483	5	40.0663	9.8124	93.1169	4.721	246.0412	596.6542	210.99	46.88000000000005	216.1354077887286	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	605.1	406.72	22.3522	24.8657	0.4543	8.5649	4.7974	0.8923	22.0	1298	7.2397	32	6	26	66.6102	3930	5.2062	79	51	28	0.5254	31	1.2367	5	0	5	110.9766	41.9332	0.7931	14.1861	11.9336	0.4885	17.5243	7.7062	34	0	52.6181	10.3152	79	20	0.2847	1.0029	7	0	16.3712	7.4095	34	0	49.0131	7.9579	67	20	0.2227	0.9263	7	0	0.1833	7	53.2293	84.2291	91.9547	7.2659	755.6699	2700.856	221.45000000000005	45.88000000000005	226.1527733634943	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	422.52	421.42	6.2743	9.6818	0.8411	3.3776	2.7213	0.4596	26.3333	474	7.9632	43	9	34	62.6667	1128	6.5079	77	55	22	1.8889	34	3.8484	13	0	13	125.8781	39.8672	0.9952	13.0461	11.8981	0.2967	19.6553	7.3618	43	3	49.5776	7.2916	77	30	0.4255	1.5853	13	0	19.2599	7.145	34	3	48.8026	6.5703	69	30	0.3388	1.3026	10	0	0.0491	12	157.6719	161.8622	182.0426	57.0434	4290.0439	13898.832	38.870000000000005	60.58000000000004	71.97786673693521	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	686.08	442.23	19.6072	17.4539	0.8088	6.4206	4.4355	0.7653	43.5818	2397	11.1034	62	15	47	62.6727	3447	6.498	75	48	27	0.2182	12	0.7623	4	0	4	179.2096	47.9537	0.9793	16.4181	13.7767	0.5083	26.9236	13.8613	62	1	40.9738	14.2263	75	8	0.3362	1.0973	8	0	24.6501	12.5982	52	1	38.0124	12.2962	71	8	0.3524	1.1351	8	0	0.1087	6	74.7848	67.3121	173.0405	18.1871	1444.3984	5785.8843	302.43000000000006	81.39000000000004	313.19041652004626	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	673.17	453.62	6.2743	9.8072	0.8198	3.3893	2.4757	0.6982	27.3889	493	4.2446	34	18	16	72.9444	1313	3.3514	81	69	12	0.6111	11	1.7868	6	0	6	103.1337	37.7246	0.9107	13.3039	9.6068	0.6924	31.2218	6.4351	44	9	64.6541	6.2737	81	47	0.4286	1.2844	7	0	31.5	6.4839	44	9	64.0524	6.0069	80	47	0.4153	1.244	7	0	0.056	6	36.4985	15.5307	85.8914	6.942	249.568	773.8737	289.52	92.78000000000003	304.02295768576425	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	666.44	458.83	4.3136	8.0169	0.8434	3.2568	1.8444	0.6847	32.0	416	3.937	36	22	14	72.0	936	2.9155	77	68	9	0.5385	7	1.1983	4	0	4	57.2529	29.3805	0.8335	10.7495	7.5405	0.6611	29.0816	8.6194	52	8	63.1293	7.6796	77	40	0.2585	0.8528	5	0	28.7985	8.902	52	8	62.2687	7.4523	77	40	0.2313	0.8126	5	0	0.0651	5	28.6974	8.9981	84.2291	5.084	399.6774	1610.0009	282.7900000000001	97.99000000000001	299.28619112815755	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	670.24	463.81	9.8036	13.8759	0.6398	4.702	3.3919	0.7711	33.1667	995	6.5658	46	24	22	73.6333	2209	2.1573	78	69	9	0.0667	2	0.3651	2	0	2	39.2143	26.6538	0.6936	10.6259	5.8729	0.8187	31.5888	8.2952	52	15	67.9813	5.7297	78	54	0.215	0.8358	6	0	30.974	8.8407	52	15	65.7792	5.1469	74	54	0.2727	0.9547	6	0	0.249	5	6.3293	5.6636	10.5737	4.4641	14.5681	22.0161	286.59000000000003	102.97000000000003	304.5269265598693	1_2	1	2
24E_F3_2_FITC.tif	Positive	Positive	PathAnnotationObject	Polygon	675.54	466.3	4.7057	8.372	0.8437	3.2027	2.0607	0.6249	26.0625	417	4.9728	35	18	17	78.125	1250	3.8794	85	73	12	1.375	22	2.1871	6	0	6	34.5086	22.3999	0.8643	7.722	6.4944	0.5105	19.5109	6.9004	35	4	62.5435	10.264	85	42	0.4565	1.3211	6	0	18.1316	6.4608	34	4	59.2632	7.8814	78	42	0.2632	0.9712	6	0	0.1343	5	13.0582	12.8742	28.169	3.3619	32.7986	90.5203	291.89	105.46000000000004	310.3571872858755	1_2	1	2
